School,County,SupervisoryUnion,OperatingDistrict,Grade,Enrollment,year
Bridport Central School,Addison County,Addison Central SU,Bridport,PKEEE,12,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,KFull,9,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade01,9,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade02,7,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade03,10,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade04,6,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade05,9,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade06,9,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,PKEEE,4,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,KFull,8,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade01,10,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade02,11,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade03,13,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade04,17,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade05,6,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade06,12,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,PKEEE,52,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,KFull,58,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade01,54,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade02,65,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade03,64,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade04,46,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade05,66,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade06,60,2016
Middlebury Senior UHSD #3,Addison County,Addison Central SU,Middlebury UHSD #3,Grade09,131,2016
Middlebury Senior UHSD #3,Addison County,Addison Central SU,Middlebury UHSD #3,Grade10,179,2016
Middlebury Senior UHSD #3,Addison County,Addison Central SU,Middlebury UHSD #3,Grade11,151,2016
Middlebury Senior UHSD #3,Addison County,Addison Central SU,Middlebury UHSD #3,Grade12,159,2016
Middlebury Senior UHSD #3,Addison County,Addison Central SU,Middlebury UHSD #3,AW,10,2016
Middlebury Union Middle School,Addison County,Addison Central SU,Middlebury UHSD #3,Grade07,122,2016
Middlebury Union Middle School,Addison County,Addison Central SU,Middlebury UHSD #3,Grade08,143,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,PKEEE,4,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,KFull,9,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade01,8,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade02,3,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade03,8,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade04,6,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade05,4,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade06,4,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,PKEEE,13,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,KFull,12,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade01,12,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade02,13,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade03,13,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade04,14,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade05,14,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade06,14,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,PKEEE,2,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,KFull,9,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade01,8,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade02,13,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade03,6,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade04,10,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade05,14,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade06,12,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,PKEEE,2,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,KFull,8,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade01,7,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade02,7,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade03,5,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade04,4,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade05,9,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade06,5,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,PKEEE,50,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,KFull,38,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade01,30,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade02,35,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade03,37,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade04,41,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade05,40,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade06,46,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,PKEEE,23,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,KFull,18,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade01,12,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade02,18,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade03,15,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade04,17,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade05,17,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade06,19,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,PKEEE,29,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,KFull,17,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade01,25,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade02,19,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade03,22,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade04,20,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade05,25,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade06,22,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade07,78,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade08,96,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade09,117,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade10,131,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade11,111,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade12,116,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,PKEEE,11,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,KFull,16,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade01,12,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade02,14,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade03,13,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade04,15,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade05,19,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade06,16,2016
Robinson School,Addison County,Addison Northeast SU,Starksboro,PKEEE,32,2016
Robinson School,Addison County,Addison Northeast SU,Starksboro,KFull,12,2016
Robinson School,Addison County,Addison Northeast SU,Starksboro,Grade01,25,2016
Robinson School,Addison County,Addison Northeast SU,Starksboro,Grade02,21,2016
Robinson School,Addison County,Addison Northeast SU,Starksboro,Grade03,26,2016
Robinson School,Addison County,Addison Northeast SU,Starksboro,Grade04,15,2016
Robinson School,Addison County,Addison Northeast SU,Starksboro,Grade05,30,2016
Robinson School,Addison County,Addison Northeast SU,Starksboro,Grade06,25,2016
Addison Central School,Addison County,Addison Northwest SU,Addison,PKEEE,5,2016
Addison Central School,Addison County,Addison Northwest SU,Addison,KFull,10,2016
Addison Central School,Addison County,Addison Northwest SU,Addison,Grade01,9,2016
Addison Central School,Addison County,Addison Northwest SU,Addison,Grade02,11,2016
Addison Central School,Addison County,Addison Northwest SU,Addison,Grade03,6,2016
Addison Central School,Addison County,Addison Northwest SU,Addison,Grade04,8,2016
Addison Central School,Addison County,Addison Northwest SU,Addison,Grade05,18,2016
Addison Central School,Addison County,Addison Northwest SU,Addison,Grade06,9,2016
Ferrisburgh Central School,Addison County,Addison Northwest SU,Ferrisburgh,PKEEE,20,2016
Ferrisburgh Central School,Addison County,Addison Northwest SU,Ferrisburgh,KFull,21,2016
Ferrisburgh Central School,Addison County,Addison Northwest SU,Ferrisburgh,Grade01,11,2016
Ferrisburgh Central School,Addison County,Addison Northwest SU,Ferrisburgh,Grade02,23,2016
Ferrisburgh Central School,Addison County,Addison Northwest SU,Ferrisburgh,Grade03,27,2016
Ferrisburgh Central School,Addison County,Addison Northwest SU,Ferrisburgh,Grade04,32,2016
Ferrisburgh Central School,Addison County,Addison Northwest SU,Ferrisburgh,Grade05,27,2016
Ferrisburgh Central School,Addison County,Addison Northwest SU,Ferrisburgh,Grade06,32,2016
Vergennes UESD #44 (School),Addison County,Addison Northwest SU,Vergennes UESD #44 (District),PKEEE,41,2016
Vergennes UESD #44 (School),Addison County,Addison Northwest SU,Vergennes UESD #44 (District),KPart,33,2016
Vergennes UESD #44 (School),Addison County,Addison Northwest SU,Vergennes UESD #44 (District),Grade01,36,2016
Vergennes UESD #44 (School),Addison County,Addison Northwest SU,Vergennes UESD #44 (District),Grade02,45,2016
Vergennes UESD #44 (School),Addison County,Addison Northwest SU,Vergennes UESD #44 (District),Grade03,37,2016
Vergennes UESD #44 (School),Addison County,Addison Northwest SU,Vergennes UESD #44 (District),Grade04,37,2016
Vergennes UESD #44 (School),Addison County,Addison Northwest SU,Vergennes UESD #44 (District),Grade05,39,2016
Vergennes UESD #44 (School),Addison County,Addison Northwest SU,Vergennes UESD #44 (District),Grade06,26,2016
Vergennes UHSD #5 (School),Addison County,Addison Northwest SU,Vergennes UHSD #5 (District),Grade07,90,2016
Vergennes UHSD #5 (School),Addison County,Addison Northwest SU,Vergennes UHSD #5 (District),Grade08,64,2016
Vergennes UHSD #5 (School),Addison County,Addison Northwest SU,Vergennes UHSD #5 (District),Grade09,78,2016
Vergennes UHSD #5 (School),Addison County,Addison Northwest SU,Vergennes UHSD #5 (District),Grade10,68,2016
Vergennes UHSD #5 (School),Addison County,Addison Northwest SU,Vergennes UHSD #5 (District),Grade11,85,2016
Vergennes UHSD #5 (School),Addison County,Addison Northwest SU,Vergennes UHSD #5 (District),Grade12,80,2016
Vergennes UHSD #5 (School),Addison County,Addison Northwest SU,Vergennes UHSD #5 (District),AW,1,2016
Orwell Village School,Addison County,Addison Rutland SU,Orwell,KFull,14,2016
Orwell Village School,Addison County,Addison Rutland SU,Orwell,Grade01,17,2016
Orwell Village School,Addison County,Addison Rutland SU,Orwell,Grade02,10,2016
Orwell Village School,Addison County,Addison Rutland SU,Orwell,Grade03,14,2016
Orwell Village School,Addison County,Addison Rutland SU,Orwell,Grade04,14,2016
Orwell Village School,Addison County,Addison Rutland SU,Orwell,Grade05,13,2016
Orwell Village School,Addison County,Addison Rutland SU,Orwell,Grade06,10,2016
Orwell Village School,Addison County,Addison Rutland SU,Orwell,Grade07,15,2016
Orwell Village School,Addison County,Addison Rutland SU,Orwell,Grade08,15,2016
Leicester Central School,Addison County,Rutland Northeast SU,Leicester,PKEEE,3,2016
Leicester Central School,Addison County,Rutland Northeast SU,Leicester,KFull,3,2016
Leicester Central School,Addison County,Rutland Northeast SU,Leicester,Grade01,8,2016
Leicester Central School,Addison County,Rutland Northeast SU,Leicester,Grade02,6,2016
Leicester Central School,Addison County,Rutland Northeast SU,Leicester,Grade03,7,2016
Leicester Central School,Addison County,Rutland Northeast SU,Leicester,Grade04,9,2016
Leicester Central School,Addison County,Rutland Northeast SU,Leicester,Grade05,6,2016
Leicester Central School,Addison County,Rutland Northeast SU,Leicester,Grade06,7,2016
Whiting Village School,Addison County,Rutland Northeast SU,Whiting,PKEEE,12,2016
Whiting Village School,Addison County,Rutland Northeast SU,Whiting,KFull,7,2016
Whiting Village School,Addison County,Rutland Northeast SU,Whiting,Grade01,2,2016
Whiting Village School,Addison County,Rutland Northeast SU,Whiting,Grade02,6,2016
Whiting Village School,Addison County,Rutland Northeast SU,Whiting,Grade03,4,2016
Whiting Village School,Addison County,Rutland Northeast SU,Whiting,Grade04,5,2016
Whiting Village School,Addison County,Rutland Northeast SU,Whiting,Grade05,4,2016
Whiting Village School,Addison County,Rutland Northeast SU,Whiting,Grade06,3,2016
Arlington Memorial,Bennington County,Battenkill Valley SU,Arlington,Grade06,35,2016
Arlington Memorial,Bennington County,Battenkill Valley SU,Arlington,Grade07,26,2016
Arlington Memorial,Bennington County,Battenkill Valley SU,Arlington,Grade08,34,2016
Arlington Memorial,Bennington County,Battenkill Valley SU,Arlington,Grade09,34,2016
Arlington Memorial,Bennington County,Battenkill Valley SU,Arlington,Grade10,34,2016
Arlington Memorial,Bennington County,Battenkill Valley SU,Arlington,Grade11,28,2016
Arlington Memorial,Bennington County,Battenkill Valley SU,Arlington,Grade12,22,2016
Fisher School,Bennington County,Battenkill Valley SU,Arlington,PKEEE,30,2016
Fisher School,Bennington County,Battenkill Valley SU,Arlington,KFull,23,2016
Fisher School,Bennington County,Battenkill Valley SU,Arlington,Grade01,30,2016
Fisher School,Bennington County,Battenkill Valley SU,Arlington,Grade02,32,2016
Fisher School,Bennington County,Battenkill Valley SU,Arlington,Grade03,31,2016
Fisher School,Bennington County,Battenkill Valley SU,Arlington,Grade04,27,2016
Fisher School,Bennington County,Battenkill Valley SU,Arlington,Grade05,24,2016
Dorset School,Bennington County,Bennington Rutland SU,Dorset,PKEEE,25,2016
Dorset School,Bennington County,Bennington Rutland SU,Dorset,KFull,11,2016
Dorset School,Bennington County,Bennington Rutland SU,Dorset,Grade01,16,2016
Dorset School,Bennington County,Bennington Rutland SU,Dorset,Grade02,19,2016
Dorset School,Bennington County,Bennington Rutland SU,Dorset,Grade03,24,2016
Dorset School,Bennington County,Bennington Rutland SU,Dorset,Grade04,22,2016
Dorset School,Bennington County,Bennington Rutland SU,Dorset,Grade05,24,2016
Dorset School,Bennington County,Bennington Rutland SU,Dorset,Grade06,25,2016
Dorset School,Bennington County,Bennington Rutland SU,Dorset,Grade07,28,2016
Dorset School,Bennington County,Bennington Rutland SU,Dorset,Grade08,22,2016
Manchester Elementary/Middle S,Bennington County,Bennington Rutland SU,Manchester,PKEEE,54,2016
Manchester Elementary/Middle S,Bennington County,Bennington Rutland SU,Manchester,KFull,32,2016
Manchester Elementary/Middle S,Bennington County,Bennington Rutland SU,Manchester,Grade01,30,2016
Manchester Elementary/Middle S,Bennington County,Bennington Rutland SU,Manchester,Grade02,37,2016
Manchester Elementary/Middle S,Bennington County,Bennington Rutland SU,Manchester,Grade03,36,2016
Manchester Elementary/Middle S,Bennington County,Bennington Rutland SU,Manchester,Grade04,33,2016
Manchester Elementary/Middle S,Bennington County,Bennington Rutland SU,Manchester,Grade05,27,2016
Manchester Elementary/Middle S,Bennington County,Bennington Rutland SU,Manchester,Grade06,43,2016
Manchester Elementary/Middle S,Bennington County,Bennington Rutland SU,Manchester,Grade07,53,2016
Manchester Elementary/Middle S,Bennington County,Bennington Rutland SU,Manchester,Grade08,58,2016
Sunderland Elementary School,Bennington County,Bennington Rutland SU,Sunderland,PKEEE,12,2016
Sunderland Elementary School,Bennington County,Bennington Rutland SU,Sunderland,KFull,13,2016
Sunderland Elementary School,Bennington County,Bennington Rutland SU,Sunderland,Grade01,14,2016
Sunderland Elementary School,Bennington County,Bennington Rutland SU,Sunderland,Grade02,13,2016
Sunderland Elementary School,Bennington County,Bennington Rutland SU,Sunderland,Grade03,10,2016
Sunderland Elementary School,Bennington County,Bennington Rutland SU,Sunderland,Grade04,11,2016
Sunderland Elementary School,Bennington County,Bennington Rutland SU,Sunderland,Grade05,16,2016
Sunderland Elementary School,Bennington County,Bennington Rutland SU,Sunderland,Grade06,5,2016
Bennington Elementary School,Bennington County,Southwest Vermont SU,Bennington ID,PKEEE,55,2016
Bennington Elementary School,Bennington County,Southwest Vermont SU,Bennington ID,KFull,47,2016
Bennington Elementary School,Bennington County,Southwest Vermont SU,Bennington ID,Grade01,54,2016
Bennington Elementary School,Bennington County,Southwest Vermont SU,Bennington ID,Grade02,48,2016
Bennington Elementary School,Bennington County,Southwest Vermont SU,Bennington ID,Grade03,37,2016
Bennington Elementary School,Bennington County,Southwest Vermont SU,Bennington ID,Grade04,41,2016
Bennington Elementary School,Bennington County,Southwest Vermont SU,Bennington ID,Grade05,40,2016
Molly Stark School,Bennington County,Southwest Vermont SU,Bennington ID,PKEEE,69,2016
Molly Stark School,Bennington County,Southwest Vermont SU,Bennington ID,KFull,63,2016
Molly Stark School,Bennington County,Southwest Vermont SU,Bennington ID,Grade01,59,2016
Molly Stark School,Bennington County,Southwest Vermont SU,Bennington ID,Grade02,80,2016
Molly Stark School,Bennington County,Southwest Vermont SU,Bennington ID,Grade03,72,2016
Molly Stark School,Bennington County,Southwest Vermont SU,Bennington ID,Grade04,59,2016
Molly Stark School,Bennington County,Southwest Vermont SU,Bennington ID,Grade05,72,2016
Monument School,Bennington County,Southwest Vermont SU,Bennington ID,PKEEE,16,2016
Monument School,Bennington County,Southwest Vermont SU,Bennington ID,KFull,23,2016
Monument School,Bennington County,Southwest Vermont SU,Bennington ID,Grade01,17,2016
Monument School,Bennington County,Southwest Vermont SU,Bennington ID,Grade02,18,2016
Monument School,Bennington County,Southwest Vermont SU,Bennington ID,Grade03,19,2016
Monument School,Bennington County,Southwest Vermont SU,Bennington ID,Grade04,26,2016
Monument School,Bennington County,Southwest Vermont SU,Bennington ID,Grade05,28,2016
Mt Anthony Senior UHSD #14,Bennington County,Southwest Vermont SU,Mt Anthony UHSD #14,Grade09,252,2016
Mt Anthony Senior UHSD #14,Bennington County,Southwest Vermont SU,Mt Anthony UHSD #14,Grade10,213,2016
Mt Anthony Senior UHSD #14,Bennington County,Southwest Vermont SU,Mt Anthony UHSD #14,Grade11,233,2016
Mt Anthony Senior UHSD #14,Bennington County,Southwest Vermont SU,Mt Anthony UHSD #14,Grade12,257,2016
Mt Anthony Senior UHSD #14,Bennington County,Southwest Vermont SU,Mt Anthony UHSD #14,AW,2,2016
Mt Anthony Union Middle School,Bennington County,Southwest Vermont SU,Mt Anthony UHSD #14,Grade06,123,2016
Mt Anthony Union Middle School,Bennington County,Southwest Vermont SU,Mt Anthony UHSD #14,Grade07,195,2016
Mt Anthony Union Middle School,Bennington County,Southwest Vermont SU,Mt Anthony UHSD #14,Grade08,229,2016
Pownal Elementary School,Bennington County,Southwest Vermont SU,Pownal,PKEEE,27,2016
Pownal Elementary School,Bennington County,Southwest Vermont SU,Pownal,KFull,25,2016
Pownal Elementary School,Bennington County,Southwest Vermont SU,Pownal,Grade01,39,2016
Pownal Elementary School,Bennington County,Southwest Vermont SU,Pownal,Grade02,35,2016
Pownal Elementary School,Bennington County,Southwest Vermont SU,Pownal,Grade03,29,2016
Pownal Elementary School,Bennington County,Southwest Vermont SU,Pownal,Grade04,35,2016
Pownal Elementary School,Bennington County,Southwest Vermont SU,Pownal,Grade05,47,2016
Pownal Elementary School,Bennington County,Southwest Vermont SU,Pownal,Grade06,29,2016
Shaftsbury Elementary School,Bennington County,Southwest Vermont SU,Shaftsbury,PKEEE,32,2016
Shaftsbury Elementary School,Bennington County,Southwest Vermont SU,Shaftsbury,KFull,34,2016
Shaftsbury Elementary School,Bennington County,Southwest Vermont SU,Shaftsbury,Grade01,30,2016
Shaftsbury Elementary School,Bennington County,Southwest Vermont SU,Shaftsbury,Grade02,30,2016
Shaftsbury Elementary School,Bennington County,Southwest Vermont SU,Shaftsbury,Grade03,34,2016
Shaftsbury Elementary School,Bennington County,Southwest Vermont SU,Shaftsbury,Grade04,34,2016
Shaftsbury Elementary School,Bennington County,Southwest Vermont SU,Shaftsbury,Grade05,42,2016
Shaftsbury Elementary School,Bennington County,Southwest Vermont SU,Shaftsbury,Grade06,36,2016
Woodford Hollow School,Bennington County,Southwest Vermont SU,Woodford,PKEEE,2,2016
Woodford Hollow School,Bennington County,Southwest Vermont SU,Woodford,KFull,4,2016
Woodford Hollow School,Bennington County,Southwest Vermont SU,Woodford,Grade01,5,2016
Woodford Hollow School,Bennington County,Southwest Vermont SU,Woodford,Grade02,3,2016
Woodford Hollow School,Bennington County,Southwest Vermont SU,Woodford,Grade03,4,2016
Woodford Hollow School,Bennington County,Southwest Vermont SU,Woodford,Grade04,1,2016
Woodford Hollow School,Bennington County,Southwest Vermont SU,Woodford,Grade05,4,2016
Woodford Hollow School,Bennington County,Southwest Vermont SU,Woodford,Grade06,3,2016
Readsboro Elementary School,Bennington County,Windham Southwest SU,Readsboro,PKEEE,9,2016
Readsboro Elementary School,Bennington County,Windham Southwest SU,Readsboro,KFull,4,2016
Readsboro Elementary School,Bennington County,Windham Southwest SU,Readsboro,Grade01,4,2016
Readsboro Elementary School,Bennington County,Windham Southwest SU,Readsboro,Grade02,6,2016
Readsboro Elementary School,Bennington County,Windham Southwest SU,Readsboro,Grade03,3,2016
Readsboro Elementary School,Bennington County,Windham Southwest SU,Readsboro,Grade04,5,2016
Readsboro Elementary School,Bennington County,Windham Southwest SU,Readsboro,Grade05,1,2016
Readsboro Elementary School,Bennington County,Windham Southwest SU,Readsboro,Grade06,7,2016
Readsboro Elementary School,Bennington County,Windham Southwest SU,Readsboro,Grade07,6,2016
Readsboro Elementary School,Bennington County,Windham Southwest SU,Readsboro,Grade08,3,2016
Stamford Elementary School,Bennington County,Windham Southwest SU,Stamford,KFull,5,2016
Stamford Elementary School,Bennington County,Windham Southwest SU,Stamford,Grade01,10,2016
Stamford Elementary School,Bennington County,Windham Southwest SU,Stamford,Grade02,5,2016
Stamford Elementary School,Bennington County,Windham Southwest SU,Stamford,Grade03,10,2016
Stamford Elementary School,Bennington County,Windham Southwest SU,Stamford,Grade04,8,2016
Stamford Elementary School,Bennington County,Windham Southwest SU,Stamford,Grade05,16,2016
Stamford Elementary School,Bennington County,Windham Southwest SU,Stamford,Grade06,5,2016
Stamford Elementary School,Bennington County,Windham Southwest SU,Stamford,Grade07,10,2016
Stamford Elementary School,Bennington County,Windham Southwest SU,Stamford,Grade08,5,2016
Barnet Elementary School,Caledonia County,Caledonia Central SU,Barnet,PKEEE,29,2016
Barnet Elementary School,Caledonia County,Caledonia Central SU,Barnet,KFull,18,2016
Barnet Elementary School,Caledonia County,Caledonia Central SU,Barnet,Grade01,16,2016
Barnet Elementary School,Caledonia County,Caledonia Central SU,Barnet,Grade02,31,2016
Barnet Elementary School,Caledonia County,Caledonia Central SU,Barnet,Grade03,20,2016
Barnet Elementary School,Caledonia County,Caledonia Central SU,Barnet,Grade04,22,2016
Barnet Elementary School,Caledonia County,Caledonia Central SU,Barnet,Grade05,12,2016
Barnet Elementary School,Caledonia County,Caledonia Central SU,Barnet,Grade06,20,2016
Barnet Elementary School,Caledonia County,Caledonia Central SU,Barnet,Grade07,19,2016
Barnet Elementary School,Caledonia County,Caledonia Central SU,Barnet,Grade08,26,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,PKEEE,25,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,KFull,19,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade01,29,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade02,18,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade03,30,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade04,19,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade05,36,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade06,30,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade07,25,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade08,25,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade09,35,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade10,24,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade11,21,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,Grade12,29,2016
Danville School,Caledonia County,Caledonia Central SU,Danville,AW,1,2016
Peacham Elementary School,Caledonia County,Caledonia Central SU,Peacham,PKEEE,9,2016
Peacham Elementary School,Caledonia County,Caledonia Central SU,Peacham,KFull,3,2016
Peacham Elementary School,Caledonia County,Caledonia Central SU,Peacham,Grade01,5,2016
Peacham Elementary School,Caledonia County,Caledonia Central SU,Peacham,Grade02,5,2016
Peacham Elementary School,Caledonia County,Caledonia Central SU,Peacham,Grade03,8,2016
Peacham Elementary School,Caledonia County,Caledonia Central SU,Peacham,Grade04,5,2016
Peacham Elementary School,Caledonia County,Caledonia Central SU,Peacham,Grade05,9,2016
Peacham Elementary School,Caledonia County,Caledonia Central SU,Peacham,Grade06,5,2016
Walden School,Caledonia County,Caledonia Central SU,Walden,PKEEE,6,2016
Walden School,Caledonia County,Caledonia Central SU,Walden,KFull,11,2016
Walden School,Caledonia County,Caledonia Central SU,Walden,Grade01,8,2016
Walden School,Caledonia County,Caledonia Central SU,Walden,Grade02,10,2016
Walden School,Caledonia County,Caledonia Central SU,Walden,Grade03,10,2016
Walden School,Caledonia County,Caledonia Central SU,Walden,Grade04,6,2016
Walden School,Caledonia County,Caledonia Central SU,Walden,Grade05,11,2016
Walden School,Caledonia County,Caledonia Central SU,Walden,Grade06,9,2016
Walden School,Caledonia County,Caledonia Central SU,Walden,Grade07,11,2016
Walden School,Caledonia County,Caledonia Central SU,Walden,Grade08,10,2016
Burke Town School,Caledonia County,Caledonia North SU,Burke,PKEEE,20,2016
Burke Town School,Caledonia County,Caledonia North SU,Burke,KFull,24,2016
Burke Town School,Caledonia County,Caledonia North SU,Burke,Grade01,15,2016
Burke Town School,Caledonia County,Caledonia North SU,Burke,Grade02,18,2016
Burke Town School,Caledonia County,Caledonia North SU,Burke,Grade03,25,2016
Burke Town School,Caledonia County,Caledonia North SU,Burke,Grade04,21,2016
Burke Town School,Caledonia County,Caledonia North SU,Burke,Grade05,22,2016
Burke Town School,Caledonia County,Caledonia North SU,Burke,Grade06,27,2016
Burke Town School,Caledonia County,Caledonia North SU,Burke,Grade07,16,2016
Burke Town School,Caledonia County,Caledonia North SU,Burke,Grade08,22,2016
Lyndon Town School,Caledonia County,Caledonia North SU,Lyndon,PKEEE,77,2016
Lyndon Town School,Caledonia County,Caledonia North SU,Lyndon,KFull,48,2016
