,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2009-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Operating District Financial Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,7th,8th,,,9th,,10th,11th,,12th,AW,PD,Total
,,,,,,,,,,,Statewide Total,"4,829",806,,,"5,399","6,190","6,148","6,231","6,208",,,,"6,435","6,509","6,450","6,512",,,"6,814",,"6,757","6,537",,"6,680",83,1,"88,589"
,Addison County,,,,,Addison Central SU,Addison Central SU,,,,Addison Central SU,77, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,77
,,,,,,,Bridport,,,,Bridport Central School,5, ,,,12,12,11,4,15,,,,14,11, , ,,, ,, , ,, , , ,84
,,,,,,,Cornwall,,,,Bingham Memorial School, , ,,,10,9,12,8,19,,,,12,14, , ,,, ,, , ,, , , ,84
,,,,,,,Middlebury ID #4,,,,Middlebury ID #4 School, , ,,,57,54,53,47,64,,,,59,55, , ,,, ,, , ,, , , ,389
,,,,,,,Middlebury UHSD #3,,,,Middlebury Senior UHSD #3, , ,,, , , , , ,,,, , , , ,,,165,,184,147,,162,7, ,665
,,,,,,,,,,,Middlebury Union Middle School #3, , ,,, , , , , ,,,, , ,146,140,,, ,, , ,, , , ,286
,,,,,,,Ripton,,,,Ripton Elementary School,4, ,,,6,1,3,7,10,,,,8,5, , ,,, ,, , ,, , , ,44
,,,,,,,Salisbury,,,,Salisbury Community School,6, ,,,14,7,11,15,9,,,,15,17, , ,,, ,, , ,, , , ,94
,,,,,,,Shoreham,,,,Shoreham Elementary School, , ,,,13,8,13,9,11,,,,5,19, , ,,, ,, , ,, , , ,78
,,,,,,,Weybridge,,,,Weybridge Elementary School, , ,,,3,8,4,7,24,,,,9,12, , ,,, ,, , ,, , , ,67
,,,,,,Addison Northeast SU,Addison Northeast SU,,,,Addison Northeast SU,38, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,38
,,,,,,,Bristol,,,,Bristol Elementary School, , ,,,54,29,41,42,40,,,,48,50, , ,,, ,, , ,, , , ,304
,,,,,,,Lincoln,,,,Lincoln Community School, , ,,,18,12,18,17,18,,,,13,17, , ,,, ,, , ,, , , ,113
,,,,,,,Monkton,,,,Monkton Central School, , ,,,18,21,16,30,33,,,,27,17, , ,,, ,, , ,, , , ,162
,,,,,,,Mt Abraham UHSD #28 (District),,,,Mt Abraham UHSD #28 (School), , ,,, , , , , ,,,, , ,117,127,,,127,,150,128,,162, , ,811
,,,,,,,New Haven,,,,Beeman Elementary School, , ,,,14,13,13,17,17,,,,10,28, , ,,, ,, , ,, , , ,112
,,,,,,,Starksboro,,,,Robinson School, , ,,,25,25,19,23,26,,,,25,17, , ,,, ,, , ,, , , ,160
,,,,,,Addison Northwest SU,Addison,,,,Addison Central School, ,11,,, ,15,15,18,16,,,,15,17, , ,,, ,, , ,, , , ,107
,,,,,,,Addison Northwest SU,,,,Addison Northwest SU,65, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,65
,,,,,,,Ferrisburgh,,,,Ferrisburgh Central School, , ,,,32,30,33,21,26,,,,27,36, , ,,, ,, , ,, , , ,205
,,,,,,,Vergennes UESD #44 (District),,,,Vergennes UESD #44 (School), ,31,,, ,41,28,51,24,,,,42,34, , ,,, ,, , ,, , , ,251
,,,,,,,Vergennes UHSD #5 (District),,,,Vergennes UHSD #5 (School), , ,,, , , , , ,,,, , ,81,95,,,101,,110,94,,113, , ,594
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School, , ,,,13,15,11,9,10,,,,24,12,11,7,,, ,, , ,, , , ,112
,,,,,,Rutland Northeast SU,Leicester,,,,Leicester Central School,8, ,,,6,6,7,4,9,,,,10,11, , ,,, ,, , ,, , , ,61
,,,,,,,Whiting,,,,Whiting Village School,13, ,,,4,7,1,6,3,,,,3,4, , ,,, ,, , ,, , , ,41
,,,,,,,,,,,County Total,216,42,,,299,313,309,335,374,,,,366,376,355,369,,,393,,444,369,,437,7, ,"5,004"
,Bennington County,,,,,Battenkill Valley SU,Arlington,,,,Arlington Memorial, , ,,, , , , , ,,,, ,22,28,25,,,30,,30,23,,28, , ,186
,,,,,,,,,,,Fisher School,17, ,,,26,23,29,22,28,,,,21, , , ,,, ,, , ,, , , ,166
,,,,,,Bennington Rutland SU,Dorset,,,,Dorset School, , ,,,16,22,16,21,13,,,,15,19,26,27,,, ,, , ,, , , ,175
,,,,,,,Manchester,,,,Manchester Elementary/Middle School,31, ,,,33,41,33,34,38,,,,40,42,64,50,,, ,, , ,, , , ,406
,,,,,,,Sunderland,,,,Sunderland Elementary School, , ,,,9,4,8,6,8,,,,5,7, , ,,, ,, , ,, , , ,47
,,,,,,Southwest Vermont SU,Bennington ID,,,,Bennington Elementary School, , ,,,48,41,41,56,36,,,,41, , , ,,, ,, , ,, , , ,263
,,,,,,,,,,,Molly Stark School, , ,,,68,65,69,64,54,,,,69, , , ,,, ,, , ,, , , ,389
