,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2004-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Operating District Financial Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,EU,7th,,,8th,,9th,10th,,11th,12th,SU,AW,PD,Total
,,,,,,,,,,,Statewide Total,"3,578","2,853",,,"3,394","6,439","6,480","6,518","6,775",,,,"7,032","7,204",55,"7,425",,,"7,747",,"7,622","7,215",,"6,776","6,597",76,21,6,"93,813"
,Addison County,,,,,Addison Central SU,Addison Central SU,,,,Addison Central SU,32, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,32
,,,,,,,Bridport,,,,Bridport Central School,12,14,,, ,18,13,19,18,,,,16,10, , ,,, ,, , ,, , , , , ,120
,,,,,,,Cornwall,,,,Bingham Memorial School, , ,,,10,14,15,9,10,,,,14,17, , ,,, ,, , ,, , , , , ,89
,,,,,,,Middlebury ID #4,,,,Middlebury ID #4 School, , ,,,54,57,54,51,60,,,,70,53, , ,,, ,, , ,, , , , , ,399
,,,,,,,Middlebury UHSD #3,,,,Middlebury Senior UHSD #3, , ,,, , , , , ,,,, , , , ,,, ,,184,181,,175,180,5, , ,725
,,,,,,,,,,,Middlebury Union Middle School #3, , ,,, , , , , ,,,, , , ,154,,,177,, , ,, , , , , ,331
,,,,,,,Ripton,,,,Ripton Elementary School,5,7,,, ,6,7,5,10,,,,9,5, , ,,, ,, , ,, , , , , ,54
,,,,,,,Salisbury,,,,Salisbury Community School, , ,,,17,15,11,13,17,,,,17,16, , ,,, ,, , ,, , , , , ,106
,,,,,,,Shoreham,,,,Shoreham Elementary School, , ,,,7,15,11,12,13,,,,20,20, , ,,, ,, , ,, , , , , ,98
,,,,,,,Weybridge,,,,Weybridge Elementary School, ,10,,, ,15,13,16,15,,,,14,14, , ,,, ,, , ,, , , , , ,97
,,,,,,Addison Northeast SU,Addison Northeast SU,,,,Addison Northeast SU,27, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,27
,,,,,,,Bristol,,,,Bristol Elementary School, ,2,,,42,45,43,42,52,,,,63,52, , ,,, ,, , ,, , , , , ,341
,,,,,,,Lincoln,,,,Lincoln Community School, ,13,,, ,15,15,22,17,,,,14,16, , ,,, ,, , ,, , , , , ,112
,,,,,,,Monkton,,,,Monkton Central School, ,27,,, ,24,31,29,26,,,,25,18, , ,,, ,, , ,, , , , , ,180
,,,,,,,Mt Abraham UHSD #28 (District),,,,Mt Abraham UHSD #28 (School), , ,,, , , , , ,,,, , , ,163,,,172,,177,167,,130,152,1, , ,962
,,,,,,,New Haven,,,,Beeman Elementary School, , ,,,15,27,23,21,23,,,,26,24, , ,,, ,, , ,, , , , , ,159
,,,,,,,Starksboro,,,,Robinson School, , ,,,22,23,21,24,15,,,,26,32, , ,,, ,, , ,, , , , , ,163
,,,,,,Addison Northwest SU,Addison,,,,Addison Central School, , ,,,17,17,18,26,20,,,,22,17, , ,,, ,, , ,, , , , , ,137
,,,,,,,Addison Northwest SU,,,,Addison Northwest SU,30, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,30
,,,,,,,Ferrisburgh,,,,Ferrisburgh Central School, , ,,,27,25,20,28,31,,,,42,24, , ,,, ,, , ,, , , , , ,197
,,,,,,,Vergennes UESD #44 (District),,,,Vergennes UESD #44 (School), ,38,,, ,36,43,48,43,,,,41,40, , ,,, ,, , ,, , , , , ,289
,,,,,,,Vergennes UHSD #5 (District),,,,Vergennes UHSD #5 (School), , ,,, , , , , ,,,, , , ,113,,,112,,114,108,,123,101, , , ,671
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School, , ,,,24,11,16,13,17,,,,23,17, ,23,,,20,, , ,, , , , , ,164
,,,,,,Rutland Northeast SU,Leicester,,,,Leicester Central School, , ,,,12,14,9,7,7,,,,14,15, , ,,, ,, , ,, , , , , ,78
,,,,,,,Whiting,,,,Whiting Village School,9, ,,,5,3,3,5,1,,,,4,1, , ,,, ,, , ,, , , , , ,31
,,,,,,Windsor Northwest SU,Granville/Hancock Joint Contract District,,,,Village School, , ,,,5,5,7,4,6,,,,6,4, , ,,, ,, , ,, , , , , ,37
,,,,,,,,,,,County Total,115,111,,,257,385,373,394,401,,,,466,395, ,453,,,481,,475,456,,428,433,6, , ,"5,629"
,Bennington County,,,,,Battenkill Valley SU,Arlington,,,,Arlington Memorial, , ,,, , , , , ,,,, ,27, ,33,,,42,,35,42,,42,41, , , ,262
,,,,,,,,,,,Fisher School,22, ,,,25,21,16,18,23,,,,22, , , ,,, ,, , ,, , , , , ,147
,,,,,,Bennington Rutland SU,Dorset,,,,Dorset School, , ,,,15,11,19,14,18,,,,27,20, ,24,,,20,, , ,, , , , , ,168
,,,,,,,Manchester,,,,Manchester Elementary/Middle School, , ,,,37,37,42,47,43,,,,66,46, ,69,,,70,, , ,, , , , , ,457
