,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sunderland,,,,Sunderland Elementary School, , ,,,5,6,9,9,10,,,,13,8, , ,,, ,, , ,, , , , , ,60
,,,,,,Southwest Vermont SU,Bennington ID,,,,Bennington Elementary School, , ,,,35,56,31,21,34,,,,34,39, , ,,, ,, , ,, , , , , ,250
,,,,,,,,,,,Catamount Elementary School, ,1,,,37,40,38,50,37,,,,39,58, , ,,, ,, , ,, , , , , ,300
,,,,,,,,,,,Molly Stark School, , ,,,47,46,46,50,43,,,,44,54, , ,,, ,, , ,, , , , , ,330
,,,,,,,,,,,Monument School, , ,,,17,21,20,20,20,,,,20,16, , ,,, ,, , ,, , , , , ,134
,,,,,,,Mt Anthony UHSD #14,,,,Mt Anthony Senior UHSD #14, , ,,, , , , , ,,,, , , , ,,, ,,304,297,,309,281, , , ,"1,191"
,,,,,,,,,,,Mt Anthony Union Middle School, , ,,, , , , , ,,,, , , ,245,,,317,, , ,, , , , , ,562
,,,,,,,North Bennington ID,,,,North Bennington Graded School, , ,,,15,27,26,21,21,,,,21,16, , ,,, ,, , ,, , , , , ,147
,,,,,,,Pownal,,,,Pownal Elementary School, , ,,,36,39,30,37,38,,,,46,51, , ,,, ,, , ,, , , , , ,277
,,,,,,,Shaftsbury,,,,Shaftsbury Elementary School, , ,,,28,31,26,31,25,,,,39,41, , ,,, ,, , ,, , , , , ,221
,,,,,,,Southwest Vermont SU,,,,Southwest Vermont SU,65, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,65
,,,,,,,Woodford,,,,Woodford Hollow School, , ,,,3,5,4,2,4,,,,4,4, , ,,, ,, , ,, , , , , ,26
,,,,,,Windham Southwest SU,Readsboro,,,,Readsboro Elementary School,12,2,,, ,9,6,7,11,,,,6,5, ,7,,,15,, , ,, , , , , ,80
,,,,,,,Stamford,,,,Stamford Elementary School, ,5,,, ,9,11,6,9,,,,4,10, ,16,,,11,, , ,, , , , , ,81
,,,,,,,,,,,County Total,99,8,,,300,358,324,333,336,,,,385,395, ,394,,,475,,339,339,,351,322, , , ,"4,758"
,Caledonia County,,,,,Caledonia Central SU,Barnet,,,,Barnet Elementary School,1, ,,,17,15,15,15,12,,,,18,18, ,28,,,21,, , ,, , , , , ,160
,,,,,,,Caledonia Central SU,,,,Caledonia Central SU,81, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,81
,,,,,,,Danville,,,,Danville School, ,15,,, ,25,19,29,24,,,,29,27, ,29,,,42,,29,41,,46,30, , , ,385
,,,,,,,Peacham,,,,Peacham Elementary School, ,4,,, ,5,6,10,8,,,,9,5, , ,,, ,, , ,, , , , , ,47
,,,,,,,Walden,,,,Walden School, , ,,,12,14,9,14,15,,,,15,20, ,14,,,18,, , ,, , , , , ,131
,,,,,,Caledonia North SU,Burke,,,,Burke Town School, ,13,,,2,32,19,23,14,,,,16,22, ,29,,,22,, , ,, , , , , ,192
,,,,,,,Caledonia North SU,,,,Caledonia North SU,10, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,10
,,,,,,,Lyndon,,,,Lyndon Town School,22,47,,, ,56,64,53,43,,,,66,63, ,66,,,81,, , ,, , , , , ,561
,,,,,,,Millers Run USD #37,,,,Millers Run School USD #37,20,15,,, ,13,13,11,22,,,,18,18,1,16,,,15,, , ,, , , , , ,162
,,,,,,,Newark,,,,Newark School, ,8,,, ,6,2,10,2,,,,2,6, ,3,,,5,, , ,, , , , , ,44
,,,,,,,Sutton,,,,Sutton School, , ,,,12,9,16,14,15,,,,12,14, ,10,,,16,, , ,, , , , , ,118
,,,,,,Essex Caledonia SU,Waterford,,,,Waterford Elementary School,23,12,,, ,18,18,13,14,,,,16,19, ,20,,,16,, , ,, , , , , ,169
,,,,,,Orleans Southwest SU,Hardwick,,,,Hardwick Elementary School, , ,,,41,39,34,37,37,,,,40,44, , ,,, ,, , ,, , , , , ,272
,,,,,,,Hazen UHSD #26 (District),,,,Hazen UHSD #26 (School), , ,,, , , , , ,,,, , , ,72,,,62,,58,76,,66,62, , , ,396
,,,,,,,Orleans Southwest SU,,,,Orleans Southwest SU,64, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,64
,,,,,,St Johnsbury SD,St Johnsbury,,,,St Johnsbury Schools,87, ,,,65,82,58,57,73,,,,68,65, ,70,,,75,, , ,, , , , , ,700
,,,,,,,,,,,County Total,308,114,,,149,314,273,286,279,,,,309,321,1,357,,,373,,87,117,,112,92, , , ,"3,492"
,Chittenden County,,,,,Burlington SD,Burlington,,,,Burlington Senior High School, , ,,, , , , , ,,,, , , , ,,, ,,344,304,,233,263, ,7, ,"1,151"
,,,,,,,,,,,C P Smith School, , ,,,40,44,48,46,42,,,,58, , , ,,, ,, , ,, , , , , ,278
,,,,,,,,,,,Champlain School, , ,,,53,55,38,42,46,,,,44, , , ,,, ,, , ,, , , , , ,278
,,,,,,,,,,,Edmunds Elementary School, , ,,,44,56,51,45,37,,,,46, , , ,,, ,, , ,, , , , , ,279
,,,,,,,,,,,Edmunds Middle School, , ,,, , , , , ,,,, ,143, ,113,,,124,, , ,, , , , , ,380
,,,,,,,,,,,Essential Early Education Center,30, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,30
,,,,,,,,,,,Integrated Arts Academy At HO Wheeler,30, ,,,28,38,31,30,24,,,,37, , , ,,, ,, , ,, , , , , ,218
,,,,,,,,,,,J J Flynn School, , ,,,55,56,64,53,57,,,,40, , , ,,, ,, , ,, , , , , ,325
,,,,,,,,,,,Lyman C Hunt Middle School, , ,,, , , , , ,,,, ,153, ,146,,,156,, , ,, , , , , ,455
,,,,,,,,,,,Ontop, , ,,, , , , , ,,,, , , ,2,,,5,,9,7,,3, , , , ,26
,,,,,,,,,,,Sustainability Academy At Lawrence Barnes, , ,,,34,19,29,28,23,,,,31, , , ,,, ,, , ,, , , , , ,164
,,,,,,,Burlington SD,,,,Burlington SD,189, ,,,1, , , , ,,,, , , , ,,, ,, , ,, , , , , ,190
,,,,,,Chittenden Central SU,Essex Community Education Center UHSD #46 (District),,,,Essex Community Education Center UHSD #46 (School), , ,,, , , , , ,,,, , , , ,,, ,,435,405,,375,377, , , ,"1,592"
,,,,,,,Essex Junction ID,,,,Albert D Lawton School, , ,,, , , , , ,,,, ,125, ,126,,,103,, , ,, , , , , ,354
,,,,,,,,,,,Hiawatha School,16,51,,, ,51,53,51, ,,,, , , , ,,, ,, , ,, , , , , ,222
,,,,,,,,,,,Summit Street School,17,53,,, ,52,48,53, ,,,, , , , ,,, ,, , ,, , , , , ,223
,,,,,,,,,,,Thomas Fleming School, , ,,, , , , ,125,,,,87, , , ,,, ,, , ,, , , , , ,212
,,,,,,,Westford,,,,Westford Elementary School,16,10,,,11,26,28,28,28,,,,20,35, ,28,,,41,, , ,, , , , , ,271
,,,,,,Chittenden East SU,Bolton,,,,Smilie Memorial School (Bolton),19, ,,,22,18,13,13,13,,,, , , , ,,, ,, , ,, , , , , ,98
,,,,,,,Huntington,,,,Brewster Pierce School,20,35,,, ,13,23,25,29,,,, , , , ,,, ,, , ,, , , , , ,145
,,,,,,,Jericho,,,,Jericho Elementary School,14,5,,,58,48,56,58,57,,,, , , , ,,, ,, , ,, , , , , ,296
,,,,,,,Mt Mansfield USD #17 (District),,,,Browns River Middle USD #17, , ,,, , , , , ,,,,121,121, ,115,,,112,, , ,, , , , , ,469
,,,,,,,,,,,Camels Hump Middle USD #17, , ,,, , , , , ,,,,110,106, ,101,,,102,, , ,, , , , , ,419
,,,,,,,,,,,Mt Mansfield USD #17 (School), , ,,, , , , , ,,,, , , , ,,, ,,261,262,,280,258, , , ,"1,061"
,,,,,,,Richmond,,,,Richmond Elementary School,30,41,,, ,55,49,51,57,,,, , , , ,,, ,, , ,, , , , , ,283
,,,,,,,Underhill ID,,,,Underhill ID School, , ,,,24,16,29,27,26,,,, , , , ,,, ,, , ,, , , , , ,122
,,,,,,,Underhill Town,,,,Underhill Central School, , ,,,25,21,32,33,28,,,, , , , ,,, ,, , ,, , , , , ,139
,,,,,,Chittenden South SU,Champlain Valley UHSD #15 (District),,,,Champlain Valley UHSD #15 (School), , ,,, , , , , ,,,, , , , ,,, ,,354,341,,327,327,3, ,5,"1,357"
,,,,,,,Charlotte,,,,Charlotte Central School,12,41,,,2,48,55,48,49,,,,60,67, ,78,,,60,, , ,, , , , , ,520
,,,,,,,Chittenden South SU,,,,Chittenden South SU,51, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,51
,,,,,,,Hinesburg,,,,Hinesburg Community School,45,48,,, ,46,56,42,61,,,,53,79, ,50,,,66,, , ,, , , , , ,546
,,,,,,,Shelburne,,,,Shelburne Community School,18,75,,, ,75,103,85,98,,,,88,113, ,109,,,89,, , ,, , , , , ,853
,,,,,,,Williston,,,,Williston Schools,48,115,,, ,127,119,110,134,,,,151,137, ,131,,,140,, , ,, , , , , ,"1,212"
,,,,,,Colchester SD,Colchester,,,,Colchester High School, , ,,, , , , , ,,,, , , , ,,, ,,207,182,,211,170,26, , ,796
,,,,,,,,,,,Colchester Middle School, , ,,, , , , , ,,,, ,194, ,196,,,196,, , ,, , , , , ,586
,,,,,,,,,,,Malletts Bay School, , ,,, , , ,166,180,,,,172, , , ,,, ,, , ,, , , , , ,518
,,,,,,,,,,,Porters Point School, ,84,,, ,87,81, , ,,,, , , , ,,, ,, , ,, , , , , ,252
,,,,,,,,,,,Union Memorial School,15,86,,, ,76,74, , ,,,, , , , ,,, ,, , ,, , , , , ,251
,,,,,,,Colchester SD,,,,Colchester SD,36, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,36
,,,,,,Essex Town SD,Essex Town,,,,Essex Elementary School,28,31,,,95,126,137, , ,,,, , , , ,,, ,, , ,, , , , , ,417
,,,,,,,,,,,Essex Middle School, , ,,, , , , , ,,,, ,139, ,180,,,173,, , ,, , , , , ,492
,,,,,,,,,,,Founders Memorial School, , ,,, , , ,139,144,,,,163, , , ,,, ,, , ,, , , , , ,446
,,,,,,Milton SD,Milton ID,,,,Milton Elementary School,53,118,,, ,125,146,157,138,,,,144,142, , ,,, ,, , ,, , , , , ,"1,023"
,,,,,,,,,,,Milton Middle School, ,1,,, , , , , ,,,, , , ,133,,,150,, , ,, , , , , ,284
,,,,,,,,,,,Milton Senior High School, , ,,, , , , , ,,,, , , , ,,, ,,135,147,,127,122,3, , ,534
,,,,,,South Burlington SD,South Burlington,,,,Chamberlin School, , ,,,50,44,43,41,46,,,,49, , , ,,, ,, , ,, , , , , ,273
,,,,,,,,,,,Frederick H Tuttle Middle School, , ,,, , , , , ,,,, ,197, ,184,,,203,, , ,, , , , , ,584
,,,,,,,,,,,Orchard School, , ,,,41,57,61,62,60,,,,64, , , ,,, ,, , ,, , , , , ,345
,,,,,,,,,,,Rick Marcotte Central School, , ,,,69,63,73,74,75,,,,66, , , ,,, ,, , ,, , , , , ,420
,,,,,,,,,,,South Burlington High School, , ,,, , , , , ,,,, , , , ,,, ,,255,257,,238,216, , , ,966
,,,,,,,South Burlington SD,,,,South Burlington SD,120, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,120
,,,,,,Winooski SD,Winooski ID,,,,J F Kennedy Elementary School,43, ,,,46,62,52,50,57,,,,51, , , ,,, ,, , ,, , , , , ,361
,,,,,,,,,,,Winooski High School, , ,,, , , , , ,,,, , , , ,,, ,,77,54,,47,33,6, , ,217
,,,,,,,,,,,Winooski Middle School, , ,,, , , , , ,,,, ,61, ,63,,,62,, , ,, , , , , ,186
,,,,,,,,,,,County Total,850,794,,,698,"1,504","1,592","1,557","1,634",,,,"1,655","1,812", ,"1,755",,,"1,782",,"2,077","1,959",,"1,841","1,766",38,7,5,"23,326"
,Essex County,,,,,Caledonia North SU,East Haven,,,,East Haven School, , ,,,4,5,3,5,4,,,,4,5, ,4,,,10,, , ,, , , , , ,44
,,,,,,Essex Caledonia SU,Concord,,,,Concord School,11, ,,,21,19,16,15,13,,,,15,14, ,20,,,21,,31,16,,22,17, , , ,251
,,,,,,,Granby,,,,Granby Central School, , ,,, , ,2,1, ,,,,3, , , ,,, ,, , ,, , , , , ,6
,,,,,,,Guildhall,,,,Guildhall Elementary School, ,1,,,3,5,3,5,2,,,,3,6, , ,,, ,, , ,, , , , , ,28
,,,,,,,Lunenburg,,,,Lunenburg Schools,16,1,,, ,18,13,9,12,,,,16,11, ,15,,,22,, , ,, , , , , ,133
,,,,,,Essex North SU,Canaan,,,,Canaan Schools, ,11,,, ,18,11,17,10,,,,22,22, ,19,,,28,,39,28,,33,19, , , ,277
,,,,,,,Essex North SU,,,,Essex North SU,17, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,17
,,,,,,,Norton,,,,Norton Village School, ,1,,, ,1, , ,2,,,, ,2, , ,,, ,, , ,, , , , , ,6
,,,,,,North Country SU,Brighton,,,,Brighton Elementary School,26,11,,, ,12,14,13,9,,,,17,15, ,21,,,21,, , ,, , , , , ,159
,,,,,,,,,,,County Total,70,25,,,28,78,62,65,52,,,,80,75, ,79,,,102,,70,44,,55,36, , , ,921
,Franklin County,,,,,Franklin Central SU,Fairfield,,,,Fairfield Center School, ,29,,, ,20,32,26,41,,,,30,30, ,33,,,23,, , ,, , , , , ,264
,,,,,,,Franklin Central SU,,,,Franklin Central SU,132, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,132
,,,,,,,St Albans City,,,,St Albans City School, , ,,,93,108,77,81,89,,,,89,89, ,83,,,82,, , ,, , , , , ,791
,,,,,,,St Albans Town,,,,St Albans Town Education Center, ,78,,, ,78,73,83,75,,,,69,70, ,77,,,90,, , ,, , , , , ,693
,,,,,,Franklin Northeast SU,Bakersfield,,,,Bakersfield School, , ,,,16,13,23,18,19,,,,19,15, ,20,,,30,, , ,, , , , , ,173
,,,,,,,Berkshire,,,,Berkshire Elementary School, ,22,,, ,18,16,27,20,,,,25,22, ,20,,,24,, , ,, , , , , ,194
,,,,,,,Enosburgh,,,,Enosburg Falls Elementary School, , ,,,27,42,36,24,44,,,,42, , , ,,, ,, , ,, , , , , ,215
,,,,,,,,,,,Enosburg Falls Junior/Senior High School, , ,,, , , , , ,,,, ,45, ,50,,,46,,82,100,,81,82, , , ,486
,,,,,,,Franklin Northeast SU,,,,Franklin Northeast SU,41, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,41
,,,,,,,Montgomery,,,,Montgomery Center School, ,14,,, ,18,18,18,17,,,,13,9, ,13,,,15,, , ,, , , , , ,135
,,,,,,,Richford,,,,Richford Elementary School, ,27,,, ,25,35,44,33,,,,33,37, , ,,, ,, , ,, , , , , ,234
,,,,,,,,,,,Richford Junior/Senior High School, , ,,, , , , , ,,,, , , ,37,,,28,,51,48,,39,45,2, , ,250
,,,,,,Franklin Northwest SU,Franklin,,,,Franklin Central School, ,25,,, ,12,18,22,27,,,,16,22, , ,,, ,, , ,, , , , , ,142
,,,,,,,Franklin Northwest SU,,,,Franklin Northwest SU,57, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,57
,,,,,,,Highgate,,,,Highgate Schools, ,47,,, ,49,54,60,52,,,,43,47, , ,,, ,, , ,, , , , , ,352
,,,,,,,Missisquoi Valley UHSD #7 (District),,,,Missisquoi Valley UHSD #7 (School), , ,,, , , , , ,,,, , , ,180,,,173,,214,201,,144,124,9, , ,"1,045"
,,,,,,,Sheldon,,,,Sheldon Elementary School, ,28,,, ,29,26,27,29,,,,27,30, ,40,,,39,, , ,, , , , , ,275
,,,,,,,Swanton,,,,Swanton Schools,7,86,,, ,71,95,76,91,,,,97,106, , ,,, ,, , ,, , , , , ,629
,,,,,,Franklin West SU,Fairfax,,,,Bellows Free Academy (Fairfax),39,48,,, ,50,53,48,56,,,,55,63, ,95,,,79,, , ,, , , , , ,586
,,,,,,,,,,,Bellows Free Academy High School (Fairfax), , ,,, , , , , ,,,, , , , ,,, ,,105,87,,76,91, , , ,359
,,,,,,,Fletcher,,,,Fletcher Elementary School,17,20,,, ,11,17,14,17,,,,26,16, , ,,, ,, , ,, , , , , ,138
,,,,,,,Georgia,,,,Georgia Elementary/Middle School,45,49,,, ,80,66,62,72,,,,69,73, ,83,,,79,, , ,, , , , , ,678
,,,,,,,,,,,County Total,338,473,,,136,624,639,630,682,,,,653,674, ,731,,,708,,452,436,,340,342,11, , ,"7,869"
,Grafton (NH) County,,,,,Rivendell Interstate School District,Rivendell Interstate School District,,,,Rivendell Academy, , ,,, , , , , ,,,, ,36, ,39,,,44,,58,44,,56,30, , , ,307
,,,,,,,,,,,Rivendell Interstate School District,16, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,16
,,,,,,,,,,,County Total,16, ,,, , , , , ,,,, ,36, ,39,,,44,,58,44,,56,30, , , ,323
,Grand Isle County,,,,,Grand Isle SU,Alburgh,,,,Alburgh Community Education Center, , ,,,33,32,30,25,27,,,,27,27, ,25,,,22,, , ,, , , , , ,248
,,,,,,,Grand Isle,,,,Grand Isle Elementary School, , ,,,18,23,26,17,27,,,,25,21, ,21,,,26,, , ,, , , , , ,204
,,,,,,,Grand Isle SU,,,,Grand Isle SU,57, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,57
,,,,,,,Isle Lamotte,,,,Isle La Motte Elementary School, , ,,,11,5,5,1,5,,,,5,3, , ,,, ,, , ,, , , , , ,35
,,,,,,,North Hero,,,,North Hero Elementary School, , ,,,11,6,8,4,13,,,,7,6, ,10,,,10,, , ,, , , , , ,75
,,,,,,,South Hero,,,,Folsom Education and Community Center, ,13,,, ,13,17,22,21,,,,24,22, ,24,,,26,, , ,, , , , , ,182
,,,,,,,,,,,County Total,57,13,,,73,79,86,69,93,,,,88,79, ,80,,,84,, , ,, , , , , ,801
,Lamoille County,,,,,Lamoille North SU,Cambridge,,,,Cambridge Elementary School,36,31,,,2,39,44,35,38,,,,36,57, , ,,, ,, , ,, , , , , ,318
,,,,,,,Eden,,,,Eden Central School,24, ,,,15,18,15,18,15,,,,16,13, , ,,, ,, , ,, , , , , ,134
,,,,,,,Hyde Park,,,,Hyde Park Elementary School,19, ,,,28,36,30,37,24,,,,30,24, , ,,, ,, , ,, , , , , ,228
,,,,,,,Johnson,,,,Johnson Elementary School,21, ,,,30,35,38,29,41,,,,33,29, , ,,, ,, , ,, , , , , ,256
,,,,,,,Lamoille UHSD #18 (District),,,,Lamoille UHSD #18 (School), , ,,, , , , , ,,,, , , , ,,, ,,180,140,,120,153, , , ,593
,,,,,,,,,,,Lamoille Union Middle School #18, , ,,, , , , , ,,,, , , ,135,,,167,, , ,, , , , , ,302
,,,,,,,Waterville,,,,Waterville Elementary School,13,10,,, ,12,8,13,11,,,,11,18, , ,,, ,, , ,, , , , , ,96
,,,,,,Lamoille South SU,Elmore,,,,Lake Elmore School, , ,,, ,10,4,5, ,,,, , , , ,,, ,, , ,, , , , , ,19
,,,,,,,Lamoille South SU,,,,Lamoille South SU,23, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,23
,,,,,,,Morristown,,,,Morristown Elementary Schools, ,61,,, ,47,52,46,81,,,,70, , , ,,, ,, , ,, , , , , ,357
,,,,,,,,,,,Peoples Academy, , ,,, , , , , ,,,, , , , ,,, ,,124,103,,87,81,1, , ,396
,,,,,,,,,,,Peoples Academy Middle School, , ,,, , , , , ,,,, ,79, ,82,,,87,, , ,, , , , , ,248
,,,,,,,Stowe,,,,Stowe Elementary School, ,44,,, ,46,43,53,44,,,,57, , , ,,, ,, , ,, , , , , ,287
,,,,,,,,,,,Stowe Middle/High School, , ,,, , , , , ,,,, ,58, ,53,,,62,,81,50,,51,37, , , ,392
,,,,,,Orleans Southwest SU,Wolcott,,,,Wolcott Elementary School, ,25,,, ,18,22,28,18,,,,20,13, , ,,, ,, , ,, , , , , ,144
,,,,,,,,,,,County Total,136,171,,,75,261,256,264,272,,,,273,291, ,270,,,316,,385,293,,258,271,1, , ,"3,793"
,Orange County,,,,,Blue Mountain SD,Blue Mountain USD #21 (District),,,,Blue Mountain USD #21 (School),28,2,,,14,36,17,21,29,,,,34,34, ,40,,,38,,36,40,,30,28,2, , ,429
,,,,,,Orange East SU,Bradford ID,,,,Bradford Elementary School, ,19,,, ,36,36,28,37,,,,33,44, , ,,, ,, , ,, , , , , ,233
,,,,,,,Newbury,,,,Newbury Elementary School,18, ,,,18,17,28,18,26,,,,17,23, , ,,, ,, , ,, , , , , ,165
,,,,,,,Orange East SU,,,,Orange East SU,41, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,41
,,,,,,,Oxbow UHSD #30 (District),,,,Oxbow UHSD #30 (School), , ,,, , , , , ,,,, , , ,58,,,55,,99,78,,74,88, , , ,452
,,,,,,,Thetford,,,,Thetford Elementary School, ,26,,, ,21,37,35,45,,,,36,34, , ,,, ,, , ,, , ,1, , ,235
