,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2018-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,7th,8th,,,9th,,10th,11th,,12th,AW,PD,Total
,,,,,,,,,,,Statewide Total,"8,594",3,,,"5,744","5,752","5,711","5,849","5,803",,,,"6,122","6,239","5,841","6,030",,,"5,658",,"5,659","5,446",,"5,191",65,3,"83,710"
,Addison County,,,,,Addison Central SD,Addison Central Unified School District,,,,Bingham Memorial School,12, ,,,12,10,6,9,12,,,,12,15, , ,,, ,, , ,, , , ,88
,,,,,,,,,,,Bridport Central School,23, ,,,10,8,5,5,10,,,,8,12, , ,,, ,, , ,, , , ,81
,,,,,,,,,,,Middlebury ID #4 School,105, ,,,55,62,66,58,63,,,,61,68, , ,,, ,, , ,, , , ,538
,,,,,,,,,,,Middlebury Union High School, , ,,, , , , , ,,,, , , , ,,,135,,126,139,,124,6, ,530
,,,,,,,,,,,Middlebury Union Middle School, , ,,, , , , , ,,,, , ,115,156,,, ,, , ,, , , ,271
,,,,,,,,,,,Ripton Elementary School,9, ,,,8,7,3,8,7,,,,4,9, , ,,, ,, , ,, , , ,55
,,,,,,,,,,,Salisbury Community School,16, ,,,7,10,12,13,16,,,,12,20, , ,,, ,, , ,, , , ,106
,,,,,,,,,,,Shoreham Elementary School,21, ,,,18,14,14,11,7,,,,8,9, , ,,, ,, , ,, , , ,102
,,,,,,,,,,,Weybridge Elementary School,7, ,,,6,10,9,7,8,,,,8,7, , ,,, ,, , ,, , , ,62
,,,,,,Addison Northwest SD,Addison Northwest Unified School District,,,,Addison Central School,13, ,,,13,11,9,7,7,,,,11,8, , ,,, ,, , ,, , , ,79
,,,,,,,,,,,Ferrisburgh Central School,35, ,,,13,15,16,21,12,,,,18,27, , ,,, ,, , ,, , , ,157
,,,,,,,,,,,Vergennes Union Elementary School,35, ,,,32,33,31,34,31,,,,35,33, , ,,, ,, , ,, , , ,264
,,,,,,,,,,,Vergennes Union High School, , ,,, , , , , ,,,, , ,70,85,,,66,,96,72,,81, , ,470
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School,19, ,,,16,16,11,20,15,,,,10,17,15,14,,, ,, , ,, , , ,153
,,,,,,Mt. Abraham Unified SD,Mt. Abraham Unified School District,,,,Beeman Elementary School,16, ,,,10,13,6,13,8,,,,13,14, , ,,, ,, , ,, , , ,93
,,,,,,,,,,,Bristol Elementary School,58, ,,,35,33,34,41,34,,,,34,39, , ,,, ,, , ,, , , ,308
,,,,,,,,,,,Lincoln Community School,14, ,,,13,10,16,25,16,,,,21,15, , ,,, ,, , ,, , , ,130
,,,,,,,,,,,Monkton Central School,20, ,,,21,20,24,16,24,,,,22,20, , ,,, ,, , ,, , , ,167
,,,,,,,,,,,Mt. Abraham Union High School #61, , ,,, , , , , ,,,, , ,92,117,,,128,,81,101,,108, , ,627
,,,,,,,,,,,Robinson School,21, ,,,15,18,19,13,22,,,,20,26, , ,,, ,, , ,, , , ,154
,,,,,,Rutland Northeast SU,Otter Valley Unified School District,,,,Otter Creek Academy at Leicester Sudbury and Whiting,20, ,,,15,9,10,17,7,,,,21,11, , ,,, ,, , ,, , , ,110
,,,,,,,,,,,County Total,444, ,,,299,299,291,318,299,,,,318,350,292,372,,,329,,303,312,,313,6, ,"4,545"
,Bennington County,,,,,Battenkill Valley SU,Arlington,,,,Arlington Memorial, , ,,, , , , , ,,,, ,30,30,19,,,37,,28,31,,25, , ,200
,,,,,,,,,,,Fisher School,42, ,,,26,28,19,27,31,,,,28, , , ,,, ,, , ,, , , ,201
,,,,,,Bennington Rutland SU,Taconic and Green Regional School District,,,,Dorset School,24, ,,,9,9,16,7,18,,,,14,28,26,24,,, ,, , ,, , , ,175
,,,,,,,,,,,Manchester Elementary/Middle School,63, ,,,38,41,33,35,29,,,,37,37,62,45,,, ,, , ,, , , ,420
,,,,,,,,,,,Sunderland Elementary School,13, ,,,7,11,14,11,12,,,,17,9, , ,,, ,, , ,, , , ,94
,,,,,,Southwest Vermont SU,Bennington ID,,,,Bennington Elementary School,69, ,,,34,40,39,48,43,,,,52, , , ,,, ,, , ,, , , ,325
,,,,,,,,,,,Molly Stark School,149, ,,,64,58,49,60,65,,,,80, , , ,,, ,, , ,, , , ,525
,,,,,,,,,,,Monument School,36, ,,,35,21,23,25,19,,,,16, , , ,,, ,, , ,, , , ,175
,,,,,,,Mt Anthony UHSD #14,,,,Mt Anthony Senior UHSD #14, , ,,, , , , , ,,,, , , , ,,,198,,207,234,,221, , ,860
,,,,,,,,,,,Mt Anthony Union Middle School, , ,,, , , , , ,,,, ,138,207,250,,, ,, , ,, , , ,595
,,,,,,,Pownal,,,,Pownal Elementary School,44, ,,,41,36,29,18,34,,,,31,27, , ,,, ,, , ,, , , ,260
,,,,,,,Shaftsbury,,,,Shaftsbury Elementary School,36, ,,,38,30,29,34,28,,,,28,32, , ,,, ,, , ,, , , ,255
,,,,,,,Woodford,,,,Woodford Hollow School,3, ,,,1,5,1,3,4,,,,3,3, , ,,, ,, , ,, , , ,23
