,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Windham Southwest SU,Southern Valley Unified School District,,,,Readsboro Elementary School,7, ,,,5,4,4,4,6,,,,5,2,4,4,,, ,, , ,, , , ,45
,,,,,,,Stamford,,,,Stamford Elementary School,18, ,,,8,5,8,9,13,,,,5,7,7,16,,, ,, , ,, , , ,96
,,,,,,,,,,,County Total,504, ,,,306,288,264,281,302,,,,316,313,336,358,,,235,,235,265,,246, , ,"4,249"
,Caledonia County,,,,,Caledonia Central SU,Caledonia Cooperative Unified School District,,,,Barnet Elementary School,21, ,,,16,14,11,22,19,,,,31,19,21,17,,, ,, , ,, , , ,191
,,,,,,,,,,,Walden School,11, ,,,9,8,9,7,5,,,,6,10,6,6,,, ,, , ,, , , ,77
,,,,,,,,,,,Waterford Elementary School,17, ,,,12,12,20,17,13,,,,17,12,13,22,,, ,, , ,, , , ,155
,,,,,,,Danville,,,,Danville School,39, ,,,19,22,23,18,34,,,,15,29,19,37,,,34,,33,25,,28, , ,375
,,,,,,,Peacham,,,,Peacham Elementary School,12, ,,,9,6,8,10,9,,,,5,7, , ,,, ,, , ,, , , ,66
,,,,,,Kingdom East SD,Kingdom East Unified Union School District,,,,Burke Town School,42, ,,,14,19,22,19,24,,,,23,29,21,19,,, ,, , ,, , , ,232
,,,,,,,,,,,Lyndon Town School,67, ,,,55,48,58,47,46,,,,49,51,57,56,,, ,, , ,, , , ,534
,,,,,,,,,,,Millers Run Union High School,17, ,,,10,13,24,4,10,,,,9,11,12,11,,, ,, , ,, , , ,121
,,,,,,,,,,,Newark School,3, ,,,5,8,5,5,10,,,,6,3,8,6,,, ,, , ,, , , ,59
,,,,,,,,,,,Sutton School,8, ,,,8,12,9,7,6,,,,14,14,7,8,,, ,, , ,, , , ,93
,,,,,,Orleans Southwest SU,Hardwick,,,,Hardwick Elementary School,41, ,,,25,26,29,27,33,,,,37,24, , ,,, ,, , ,, , , ,242
,,,,,,,Hazen UHSD #26 (District),,,,Hazen UHSD #26 (School), , ,,, , , , , ,,,, , ,45,52,,,46,,51,46,,43,2, ,285
,,,,,,St Johnsbury SD,St Johnsbury,,,,St Johnsbury Schools,94, ,,,60,59,67,64,66,,,,57,77,56,75,,, ,, , ,, , , ,675
,,,,,,,,,,,County Total,372, ,,,242,247,285,247,275,,,,269,286,265,309,,,80,,84,71,,71,2, ,"3,105"
,Chittenden County,,,,,Burlington SD,Burlington,,,,Burlington Senior High School, , ,,, , , , , ,,,, , , , ,,,245,,258,225,,217,34, ,979
,,,,,,,,,,,C P Smith School, , ,,,55,43,60,34,41,,,,47, , , ,,, ,, , ,, , , ,280
,,,,,,,,,,,Champlain School,370, ,,,44,50,58,51,46,,,,56, , , ,,, ,, , ,, , , ,675
,,,,,,,,,,,Edmunds Elementary School, , ,,,48,43,43,60,45,,,,56, , , ,,, ,, , ,, , , ,295
,,,,,,,,,,,Edmunds Middle School, , ,,, , , , , ,,,, ,131,141,135,,, ,, , ,, , , ,407
,,,,,,,,,,,Integrated Arts Academy At HO Wheeler,25, ,,,40,41,44,45,45,,,,51, , , ,,, ,, , ,, , , ,291
,,,,,,,,,,,J J Flynn School,40, ,,,58,52,44,56,35,,,,55, , , ,,, ,, , ,, , , ,340
,,,,,,,,,,,Lyman C Hunt Middle School, , ,,, , , , , ,,,, ,135,128,146,,, ,, , ,, , , ,409
,,,,,,,,,,,Sustainability Academy At Lawrence Barnes,19, ,,,36,28,32,31,22,,,,24, , , ,,, ,, , ,, , , ,192
,,,,,,Champlain Valley SD,Champlain Valley Unified School District,,,,Champlain Valley Union High School, , ,,, , , , , ,,,, , , , ,,,288,,353,334,,316, , ,"1,291"
,,,,,,,,,,,Charlotte Central School,58, ,,,28,35,46,40,42,,,,39,42,47,35,,, ,, , ,, , , ,412
,,,,,,,,,,,Hinesburg Community School,81, ,,,40,52,50,66,53,,,,65,52,64,70,,, ,, , ,, , , ,593
,,,,,,,,,,,Shelburne Community School,137, ,,,74,70,80,79,71,,,,95,79,88,84,,, ,, , ,, , , ,857
,,,,,,,,,,,Williston Schools,111, ,,,115,108,101,100,105,,,,99,119,111,122,,, ,, , ,, , , ,"1,091"
,,,,,,Chittenden East SU,Huntington,,,,Brewster Pierce School,33, ,,,24,26,17,20,20,,,, , , , ,,, ,, , ,, , , ,140
,,,,,,,Mt Mansfield Modified USD #401A (District),,,,Jericho Elementary School,73, ,,,46,67,51,51,34,,,, , , , ,,, ,, , ,, , , ,322
,,,,,,,,,,,Richmond Elementary School,97, ,,,42,47,38,40,48,,,, , , , ,,, ,, , ,, , , ,312
,,,,,,,,,,,Smilie Memorial School (Bolton),27, ,,,18,12,13,20,15,,,, , , , ,,, ,, , ,, , , ,105
,,,,,,,,,,,Underhill Central School,35, ,,,20,16,20,19,20,,,, , , , ,,, ,, , ,, , , ,130
,,,,,,,,,,,Underhill ID School,50, ,,,12,18,22,16,21,,,, , , , ,,, ,, , ,, , , ,139
,,,,,,,Mt Mansfield Modified USD #401B (District),,,,Brown River Middle School, , ,,, , , , , ,,,,100,100,91,121,,, ,, , ,, , , ,412
,,,,,,,,,,,Camels Hump Middle School, , ,,, , , , , ,,,,73,95,81,75,,, ,, , ,, , , ,324
,,,,,,,,,,,Mt Mansfield Union High School, , ,,, , , , , ,,,, , , , ,,,185,,205,190,,202, , ,782
,,,,,,Colchester SD,Colchester,,,,Colchester High School, , ,,, , , , , ,,,, , , , ,,,167,,172,136,,157,4, ,636
,,,,,,,,,,,Colchester Middle School, , ,,, , , , , ,,,, ,174,162,160,,, ,, , ,, , , ,496
,,,,,,,,,,,Malletts Bay School, , ,,, , , ,146,166,,,,171, , , ,,, ,, , ,, , , ,483
,,,,,,,,,,,Porters Point School,251, ,,,74,93,74, , ,,,, , , , ,,, ,, , ,, , , ,492
,,,,,,,,,,,Union Memorial School, , ,,,89,80,81, , ,,,, , , , ,,, ,, , ,, , , ,250
,,,,,,Essex Westford SD,Essex-Westford Educational Community Unified School District,,,,Albert D Lawton School, , ,,, , , , , ,,,, ,113,111,133,,, ,, , ,, , , ,357
,,,,,,,,,,,Essex Elementary School,198, ,,,122,107,109, , ,,,, , , , ,,, ,, , ,, , , ,536
,,,,,,,,,,,Essex High School, , ,,, , , , , ,,,, , , , ,,,301,,304,287,,356, , ,"1,248"
,,,,,,,,,,,Essex Middle School, , ,,, , , , , ,,,, ,149,136,136,,, ,, , ,, , , ,421
,,,,,,,,,,,Founders Memorial School, , ,,, , , ,137,141,,,,141, , , ,,, ,, , ,, , , ,419
,,,,,,,,,,,Hiawatha School,18, ,,,42,54,44,49, ,,,, , , , ,,, ,, , ,, , , ,207
,,,,,,,,,,,Summit Street School,128, ,,,47,61,45,51, ,,,, , , , ,,, ,, , ,, , , ,332
,,,,,,,,,,,Thomas Fleming School, , ,,, , , , ,112,,,,124, , , ,,, ,, , ,, , , ,236
,,,,,,,,,,,Westford Elementary School,34, ,,,18,19,22,16,19,,,,18,19,17,16,,, ,, , ,, , , ,198
,,,,,,Milton SD,Milton ID,,,,Milton Elementary School,189, ,,,110,110,105,96,106,,,,117, , , ,,, ,, , ,, , , ,833
,,,,,,,,,,,Milton Middle School, , ,,, , , , , ,,,, ,105,122,114,,, ,, , ,, , , ,341
,,,,,,,,,,,Milton Senior High School, , ,,, , , , , ,,,, , , , ,,,114,,138,107,,115, , ,474
,,,,,,South Burlington SD,South Burlington,,,,Chamberlin School,82, ,,,44,40,41,53,27,,,,42, , , ,,, ,, , ,, , , ,329
,,,,,,,,,,,Frederick H Tuttle Middle School, , ,,, , , , , ,,,, ,185,207,177,,, ,, , ,, , , ,569
,,,,,,,,,,,Orchard School,113, ,,,65,68,66,64,57,,,,50, , , ,,, ,, , ,, , , ,483
,,,,,,,,,,,Rick Marcotte Central School,92, ,,,59,45,62,53,56,,,,61, , , ,,, ,, , ,, , , ,428
,,,,,,,,,,,South Burlington High School, , ,,, , , , , ,,,, , , , ,,,228,,227,254,,204, , ,913
,,,,,,Winooski SD,Winooski ID,,,,J F Kennedy Elementary School,121, ,,,61,70,63,55,52,,,,64, , , ,,, ,, , ,, , , ,486
,,,,,,,,,,,Winooski High School, , ,,, , , , , ,,,, , , , ,,,47,,60,60,,44, , ,211
,,,,,,,,,,,Winooski Middle School, , ,,, , , , , ,,,, ,53,60,55,,, ,, , ,, , , ,168
,,,,,,,,,,,County Total,"2,382", ,,,"1,431","1,455","1,431","1,448","1,399",,,,"1,548","1,551","1,566","1,579",,,"1,575",,"1,717","1,593",,"1,611",38, ,"22,324"
,Essex County,,,,,Essex North SU,Canaan,,,,Canaan Schools,19, ,,,9,11,6,12,11,,,,11,7,11,17,,,24,,15,22,,22, , ,197
,,,,,,Kingdom East SD,Kingdom East Unified Union School District,,,,Concord Graded/Middle School,8, ,,,10,15,13,8,6,,,,13,16,12,16,,, ,, , ,, , , ,117
,,,,,,,,,,,Lunenburg & Gilman Schools,12, ,,,22,13,12,12,22,,,,12,10,13,16,,, ,, , ,, , , ,144
,,,,,,North Country SU,Brighton,,,,Brighton Elementary School,14, ,,,11,12,11,19,11,,,,10,3,7,3,,, ,, , ,, , , ,101
,,,,,,,,,,,County Total,53, ,,,52,51,42,51,50,,,,46,36,43,52,,,24,,15,22,,22, , ,559
,Franklin County,,,,,Franklin Northeast SU,Bakersfield,,,,Bakersfield School,22, ,,,18,10,14,18,11,,,,11,17,10,15,,, ,, , ,, , , ,146
,,,,,,,Berkshire,,,,Berkshire Elementary School,28, ,,,14,20,22,17,22,,,,17,25,17,27,,, ,, , ,, , , ,209
,,,,,,,Enosburgh,,,,Enosburg Falls Elementary School,65, ,,,40,39,36,34,23,,,,41, , , ,,, ,, , ,, , , ,278
,,,,,,,,,,,Enosburg Falls Junior/Senior High School, , ,,, , , , , ,,,, ,32,26,30,,,101,,82,90,,65, , ,426
,,,,,,,Montgomery,,,,Montgomery Center School,19, ,,,18,10,10,13,16,,,,13,13,13,11,,, ,, , ,, , , ,136
,,,,,,,Richford,,,,Richford Elementary School,47, ,,,25,29,24,26,22,,,,22, , , ,,, ,, , ,, , , ,195
,,,,,,,,,,,Richford Junior/Senior High School, , ,,, , , , , ,,,, ,32,34,34,,,44,,24,29,,34,2, ,233
,,,,,,Franklin Northwest SU,Franklin,,,,Franklin Central School,27, ,,,16,9,16,22,15,,,,21,18, , ,,, ,, , ,, , , ,144
,,,,,,,Highgate,,,,Highgate Schools,31, ,,,26,37,48,38,41,,,,51,35, , ,,, ,, , ,, , , ,307
,,,,,,,Missisquoi Valley UHSD #7 (District),,,,Missisquoi Valley UHSD #7 (School), , ,,, , , , , ,,,, , ,116,138,,,143,,142,122,,134, , ,795
,,,,,,,Sheldon,,,,Sheldon Elementary School,37, ,,,29,26,25,37,29,,,,30,33,24,25,,, ,, , ,, , , ,295
,,,,,,,Swanton,,,,Swanton Schools,129, ,,,63,85,83,76,74,,,,69,75, , ,,, ,, , ,, , , ,654
,,,,,,Franklin West SU,Fairfax,,,,BFA Elementary School ¿ Fairfax,100, ,,,66,65,67,59,65,,,,54,56, , ,,, ,, , ,, , , ,532
,,,,,,,,,,,BFA Middle/High School ¿ Fairfax, , ,,, , , , , ,,,, , ,80,68,,,81,,76,65,,67, , ,437
,,,,,,,Fletcher,,,,Fletcher Elementary School,22, ,,,14,22,10,11,13,,,,8,19, , ,,, ,, , ,, , , ,119
,,,,,,,Georgia,,,,Georgia Elementary/Middle School,108, ,,,66,49,51,74,76,,,,59,62,66,71,,, ,, , ,, , , ,682
,,,,,,Maple Run SD,Maple Run Unified School District,,,,Bellows Free Academy (St Albans), , ,,, , , , , ,,,, , , , ,,,229,,204,209,,195, , ,837
,,,,,,,,,,,Fairfield Center School,35, ,,,31,29,25,26,21,,,,27,22,20,24,,, ,, , ,, , , ,260
,,,,,,,,,,,St Albans City School,118, ,,,95,88,73,67,81,,,,82,81,78,68,,, ,, , ,, , , ,831
,,,,,,,,,,,St Albans Town Education Center,98, ,,,77,77,82,76,78,,,,79,86,80,80,,, ,, , ,, , , ,813
,,,,,,,,,,,County Total,886, ,,,598,595,586,594,587,,,,584,606,564,591,,,598,,528,515,,495,2, ,"8,329"
,Grafton (NH) County,,,,,Rivendell Interstate SD,Rivendell Interstate School District,,,,Rivendell Academy, , ,,, , , , , ,,,, , ,31,26,,,34,,38,37,,35, , ,201
,,,,,,,,,,,County Total, , ,,, , , , , ,,,, , ,31,26,,,34,,38,37,,35, , ,201
,Grand Isle County,,,,,Grand Isle SU,Alburgh,,,,Alburgh Community Education Center,35, ,,,19,19,16,25,21,,,,20,20,16,31,,, ,, , ,, , , ,222
,,,,,,,Grand Isle,,,,Grand Isle Elementary School, , ,,,18,19,12,23,26,,,,14,11,9,24,,, ,, , ,, , , ,156
,,,,,,,Isle Lamotte,,,,Isle La Motte Elementary School, , ,,,1,3,5,1,5,,,,6,7, , ,,, ,, , ,, , , ,28
,,,,,,,North Hero,,,,North Hero Elementary School,15, ,,,5,10,8,7,8,,,,7,6, , ,,, ,, , ,, , , ,66
,,,,,,,South Hero,,,,Folsom Education and Community Center, , ,,,11,14,21,15,17,,,,15,12,10,14,,, ,, , ,, , , ,129
,,,,,,,,,,,County Total,50, ,,,54,65,62,71,77,,,,62,56,35,69,,, ,, , ,, , , ,601
,Lamoille County,,,,,Lamoille North SU,Cambridge,,,,Cambridge Elementary School,57, ,,,38,36,31,38,44,,,,47,42, , ,,, ,, , ,, , , ,333
,,,,,,,Lamoille North Modified USD #058A,,,,Eden Central School,26, ,,,20,15,15,15,18,,,,20,21, , ,,, ,, , ,, , , ,150
,,,,,,,,,,,Hyde Park Elementary School,41, ,,,24,18,36,27,31,,,,31,29, , ,,, ,, , ,, , , ,237
,,,,,,,,,,,Johnson Elementary School,45, ,,,30,23,35,34,32,,,,38,27, , ,,, ,, , ,, , , ,264
,,,,,,,,,,,Waterville Elementary School,15, ,,,9,9,16,13,7,,,,12,11, , ,,, ,, , ,, , , ,92
,,,,,,,Lamoille North Modified USD #058B,,,,Lamoille Union High School, , ,,, , , , , ,,,, , , , ,,,146,,104,113,,118, , ,481
,,,,,,,,,,,Lamoille Union Middle School, , ,,, , , , , ,,,, , ,131,126,,, ,, , ,, , , ,257
,,,,,,Lamoille South SU,Elmore Morristown Unified School District,,,,Lake Elmore School, , ,,, ,5,5,3, ,,,, , , , ,,, ,, , ,, , , ,13
,,,,,,,,,,,Morristown Elementary Schools,80, ,,,63,50,43,60,56,,,, , , , ,,, ,, , ,, , , ,352
,,,,,,,,,,,Peoples Academy, , ,,, , , , , ,,,, , , , ,,,56,,75,74,,58, , ,263
,,,,,,,,,,,Peoples Academy Middle School, , ,,, , , , , ,,,,64,57,59,78,,, ,, , ,, , , ,258
,,,,,,,Stowe,,,,Stowe Elementary School,80, ,,,57,45,46,66,59,,,,66, , , ,,, ,, , ,, , , ,419
,,,,,,,,,,,Stowe Middle/High School, , ,,, , , , , ,,,, ,64,58,64,,,67,,57,66,,52, , ,428
,,,,,,Orleans Southwest SU,Wolcott,,,,Wolcott Elementary School,16, ,,,13,13,17,18,21,,,,18,27, , ,,, ,, , ,, , , ,143
,,,,,,,,,,,County Total,360, ,,,254,214,244,274,268,,,,296,278,248,268,,,269,,236,253,,228, , ,"3,690"
,Orange County,,,,,Central Vermont SU,Echo Valley Community School District,,,,Orange Center School, , ,,, , , , , ,,,,20,18,22,19,,, ,, , ,, , , ,79
,,,,,,,,,,,Washington Village School,19, ,,,15,17,21,19,20,,,, , , , ,,, ,, , ,, , , ,111
,,,,,,,Paine Mountain School District,,,,Williamstown Elementary School,37, ,,,30,39,37,24,40,,,,27, , , ,,, ,, , ,, , , ,234
,,,,,,,,,,,Williamstown Middle/High School, , ,,, , , , , ,,,, ,37,36,22,,,43,,43,52,,34, , ,267
,,,,,,Orange East SU,Blue Mountain USD #21 (District),,,,Blue Mountain USD #21 (School),36, ,,,20,26,24,27,32,,,,25,30,35,30,,,44,,26,32,,18, , ,405
,,,,,,,Bradford ID,,,,Bradford Elementary School,52, ,,,30,31,29,33,39,,,,39,34, , ,,, ,, , ,, , , ,287
,,,,,,,Newbury,,,,Newbury Elementary School,16, ,,,19,10,23,16,21,,,,16,23, , ,,, ,, , ,, , , ,144
,,,,,,,Oxbow UHSD #30 (District),,,,Oxbow UHSD #30 (School), , ,,, , , , , ,,,, , ,42,40,,,71,,50,43,,48, , ,294
,,,,,,,Thetford,,,,Thetford Elementary School,40, ,,,27,22,32,28,37,,,,21,42, , ,,, ,, , ,, , , ,249
,,,,,,,Waits River Valley USD #36 (District),,,,Waits River Valley USD #36 (School),29, ,,,31,19,22,28,25,,,,28,27,25,12,,, ,, , ,, , , ,246
,,,,,,Orange Southwest SU,Orange Southwest Unified School District,,,,Braintree School,15, ,,,9,19,6,16,7,,,,20,11, , ,,, ,, , ,, , , ,103
,,,,,,,,,,,Brookfield School,1, ,,,13,7,15,9,9,,,,8,6, , ,,, ,, , ,, , , ,68
,,,,,,,,,,,Randolph Elementary School,49, ,,,46,39,34,35,38,,,,57,48, , ,,, ,, , ,, , , ,346
,,,,,,,,,,,Randolph Union High School, , ,,, , , , , ,,,, , ,57,69,,,70,,65,66,,66, , ,393
,,,,,,Rivendell Interstate SD,Rivendell Interstate School District,,,,Samuel Morey Elementary School,18, ,,,14,12,20,20,21,,,,36,27, , ,,, ,, , ,, , , ,168
,,,,,,,,,,,Westshire School,21, ,,,13,16,17,18,20,,,, , , , ,,, ,, , ,, , , ,105
,,,,,,White River Valley SU,First Branch Unified School District,,,,Chelsea Elementary Middle School,17, ,,,12,10,19,15,10,,,,17,12,8,11,,, ,, , ,, , , ,131
,,,,,,,,,,,Tunbridge Central School,10, ,,,12,14,8,10,11,,,,11,12,16,13,,, ,, , ,, , , ,117
,,,,,,,Strafford,,,,Newton Elementary School,12, ,,,10,8,14,11,13,,,,8,10,10,9,,, ,, , ,, , , ,105
,,,,,,,,,,,County Total,372, ,,,301,289,321,309,343,,,,333,337,251,225,,,228,,184,193,,166, , ,"3,852"
,Orleans County,,,,,North Country SU,Charleston,,,,Charleston Elementary School,18, ,,,7,11,12,9,9,,,,10,11,7,8,,, ,, , ,, , , ,102
,,,,,,,Coventry,,,,Coventry Village School,14, ,,,16,20,14,12,13,,,,12,19,12,16,,, ,, , ,, , , ,148
,,,,,,,Derby,,,,Derby Elementary School,68, ,,,55,58,48,64,49,,,,52,50, , ,,, ,, , ,, , , ,444
,,,,,,,Holland,,,,Holland Elementary School,14, ,,,5,3,5,3,4,,,,4,6, , ,,, ,, , ,, , , ,44
,,,,,,,Jay/Westfield Joint Elementary District,,,,Jay/Westfield Joint School,21, ,,,8,13,5,9,9,,,,12,8, , ,,, ,, , ,, , , ,85
,,,,,,,Lowell,,,,Lowell Graded School,16, ,,,14,5,11,9,10,,,,6,14,12,12,,, ,, , ,, , , ,109
,,,,,,,Newport City,,,,Newport City Elementary Schools,58, ,,,50,40,42,51,45,,,,38,43, , ,,, ,, , ,, , , ,367
,,,,,,,Newport Town,,,,Newport Town School,18, ,,,10,11,10,13,13,,,,11,12, , ,,, ,, , ,, , , ,98
,,,,,,,North Country Junior UHSD #22 (District),,,,North Country Junior UHSD #22 (School), , ,,, , , , , ,,,, , ,140,113,,, ,, , ,, , , ,253
,,,,,,,North Country Senior UHSD #22 (District),,,,North Country Senior UHSD #22 (School), , ,,, , , , , ,,,, , , , ,,,176,,178,181,,145, , ,680
,,,,,,,Troy,,,,Troy School,19, ,,,16,15,16,18,14,,,,20,15,23,21,,, ,, , ,, , , ,177
,,,,,,Orleans Central SU,Albany,,,,Albany Community School,14, ,,,8,7,8,12,12,,,,12,9,7,6,,, ,, , ,, , , ,95
,,,,,,,Barton ID,,,,Barton Graded School,26, ,,,15,19,21,19,13,,,,21,13,22,19,,, ,, , ,, , , ,188
,,,,,,,Brownington,,,,Brownington Central School,12, ,,,8,15,9,9,15,,,,12,15,9,12,,, ,, , ,, , , ,116
,,,,,,,Glover,,,,Glover Community School,10, ,,,7,12,13,13,8,,,,15,13,14,16,,, ,, , ,, , , ,121
,,,,,,,Irasburg,,,,Irasburg Village School,17, ,,,13,16,10,17,9,,,,13,18,12,15,,, ,, , ,, , , ,140
,,,,,,,Lake Region UHSD #24 (District),,,,Lake Region UHSD #24 (School), , ,,, , , , , ,,,, , , , ,,,82,,91,98,,93, , ,364
,,,,,,,Orleans ID,,,,Orleans Elementary School,13, ,,,8,25,5,14,13,,,,12,15,9,11,,, ,, , ,, , , ,125
,,,,,,Orleans Southwest SU,Craftsbury,,,,Craftsbury Schools,21, ,,,12,15,7,12,7,,,,10,10,13,23,,,21,,20,19,,7, , ,197
,,,,,,,Lakeview USD #43 (District),,,,Lakeview USD #43 (School),12, ,,,5,10,12,8,3,,,,11,6, , ,,, ,, , ,, , , ,67
,,,,,,,,,,,County Total,371, ,,,257,295,248,292,246,,,,271,277,280,272,,,279,,289,298,,245, , ,"3,920"
