,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Operating District Financial Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,7th,8th,,,9th,,10th,11th,,12th,AW,Total
,,,,,,,,,,,Statewide Total,"7,301",81,,,"5,775","5,754","6,174","6,176","5,950",,,,"6,158","6,030","5,886","5,949",,,"5,967",,"5,801","5,835",,"5,542",67,"84,446"
,Addison County,,,,,Addison Central SU,Bridport,,,,Bridport Central School,12, ,,,9,9,7,10,6,,,,9,9, , ,,, ,, , ,, , ,71
,,,,,,,Cornwall,,,,Bingham Memorial School,4, ,,,8,10,11,13,17,,,,6,12, , ,,, ,, , ,, , ,81
,,,,,,,Middlebury ID #4,,,,Middlebury ID #4 School,52, ,,,58,54,65,64,46,,,,66,60, , ,,, ,, , ,, , ,465
,,,,,,,Middlebury UHSD #3,,,,Middlebury Senior UHSD #3, , ,,, , , , , ,,,, , , , ,,,131,,179,151,,159,10,630
,,,,,,,,,,,Middlebury Union Middle School #3, , ,,, , , , , ,,,, , ,122,143,,, ,, , ,, , ,265
,,,,,,,Ripton,,,,Ripton Elementary School,4, ,,,9,8,3,8,6,,,,4,4, , ,,, ,, , ,, , ,46
,,,,,,,Salisbury,,,,Salisbury Community School,13, ,,,12,12,13,13,14,,,,14,14, , ,,, ,, , ,, , ,105
,,,,,,,Shoreham,,,,Shoreham Elementary School,2, ,,,9,8,13,6,10,,,,14,12, , ,,, ,, , ,, , ,74
,,,,,,,Weybridge,,,,Weybridge Elementary School,2, ,,,8,7,7,5,4,,,,9,5, , ,,, ,, , ,, , ,47
,,,,,,Addison Northeast SU,Bristol,,,,Bristol Elementary School,50, ,,,38,30,35,37,41,,,,40,46, , ,,, ,, , ,, , ,317
,,,,,,,Lincoln,,,,Lincoln Community School,23, ,,,18,12,18,15,17,,,,17,19, , ,,, ,, , ,, , ,139
,,,,,,,Monkton,,,,Monkton Central School,29, ,,,17,25,19,22,20,,,,25,22, , ,,, ,, , ,, , ,179
,,,,,,,Mt Abraham UHSD #28 (District),,,,Mt Abraham UHSD #28 (School), , ,,, , , , , ,,,, , ,78,96,,,117,,131,111,,116, ,649
,,,,,,,New Haven,,,,Beeman Elementary School,11, ,,,16,12,14,13,15,,,,19,16, , ,,, ,, , ,, , ,116
,,,,,,,Starksboro,,,,Robinson School,32, ,,,12,25,21,26,15,,,,30,25, , ,,, ,, , ,, , ,186
,,,,,,Addison Northwest SU,Addison,,,,Addison Central School,5, ,,,10,9,11,6,8,,,,18,9, , ,,, ,, , ,, , ,76
,,,,,,,Ferrisburgh,,,,Ferrisburgh Central School,20, ,,,21,11,23,27,32,,,,27,32, , ,,, ,, , ,, , ,193
,,,,,,,Vergennes UESD #44 (District),,,,Vergennes UESD #44 (School),41,33,,, ,36,45,37,37,,,,39,26, , ,,, ,, , ,, , ,294
,,,,,,,Vergennes UHSD #5 (District),,,,Vergennes UHSD #5 (School), , ,,, , , , , ,,,, , ,90,64,,,78,,68,85,,80,1,466
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School, , ,,,14,17,10,14,14,,,,13,10,15,15,,, ,, , ,, , ,122
,,,,,,Rutland Northeast SU,Leicester,,,,Leicester Central School,3, ,,,3,8,6,7,9,,,,6,7, , ,,, ,, , ,, , ,49
,,,,,,,Whiting,,,,Whiting Village School,12, ,,,7,2,6,4,5,,,,4,3, , ,,, ,, , ,, , ,43
,,,,,,,,,,,County Total,315,33,,,269,295,327,327,316,,,,360,331,305,318,,,326,,378,347,,355,11,"4,613"
,Bennington County,,,,,Battenkill Valley SU,Arlington,,,,Arlington Memorial, , ,,, , , , , ,,,, ,35,26,34,,,34,,34,28,,22, ,213
,,,,,,,,,,,Fisher School,30, ,,,23,30,32,31,27,,,,24, , , ,,, ,, , ,, , ,197
,,,,,,Bennington Rutland SU,Dorset,,,,Dorset School,25, ,,,11,16,19,24,22,,,,24,25,28,22,,, ,, , ,, , ,216
,,,,,,,Manchester,,,,Manchester Elementary/Middle School,54, ,,,32,30,37,36,33,,,,27,43,53,58,,, ,, , ,, , ,403
,,,,,,,Sunderland,,,,Sunderland Elementary School,12, ,,,13,14,13,10,11,,,,16,5, , ,,, ,, , ,, , ,94
,,,,,,Southwest Vermont SU,Bennington ID,,,,Bennington Elementary School,55, ,,,47,54,48,37,41,,,,40, , , ,,, ,, , ,, , ,322
,,,,,,,,,,,Molly Stark School,69, ,,,63,59,80,72,59,,,,72, , , ,,, ,, , ,, , ,474
,,,,,,,,,,,Monument School,16, ,,,23,17,18,19,26,,,,28, , , ,,, ,, , ,, , ,147
,,,,,,,Mt Anthony UHSD #14,,,,Mt Anthony Senior UHSD #14, , ,,, , , , , ,,,, , , , ,,,252,,213,233,,257,2,957
,,,,,,,,,,,Mt Anthony Union Middle School, , ,,, , , , , ,,,, ,123,195,229,,, ,, , ,, , ,547
,,,,,,,Pownal,,,,Pownal Elementary School,27, ,,,25,39,35,29,35,,,,47,29, , ,,, ,, , ,, , ,266
