Fiscal Year,SUID,SUName,ORGID,OrgName,Enrollment,Concat,K12FTE,TotStaffFTE,VCFlag
2012-2013,SU024,Grand Isle SU,PS010,Alburgh Community Ed Center,183,PS0102013,19.2,43.05,0
2012-2013,SU024,Grand Isle SU,PS112,Folsom Ed And Community Ctr,111,PS1122013,13.3,26.38,0
2012-2013,SU024,Grand Isle SU,PS122,Grand Isle  School,201,PS1222013,19.7,43.1,0
2012-2013,SU024,Grand Isle SU,PS148,Isle La Motte Elem School,18,PS1482013,4.8,8.88,0
2012-2013,SU024,Grand Isle SU,PS209,North Hero School,45,PS2092013,6.1,13.27,0
2012-2013,SU024,Grand Isle SU,SU024,Grand Isle SU,0,SU0242013,1.6,13.3,0
2012-2013,SU025,Lamoille North SU,PS057,Cambridge Elementary School,323,PS0572013,31,68.77,0
2012-2013,SU025,Lamoille North SU,PS093,Eden Central School,113,PS0932013,12.5,45.1,0
2012-2013,SU025,Lamoille North SU,PS145,Hyde Park Elementary School,217,PS1452013,23.7,55.4,0
2012-2013,SU025,Lamoille North SU,PS153,Johnson Elementary School,214,PS1532013,22,50.61,0
2012-2013,SU025,Lamoille North SU,PS158,Lamoille UHS #18,575,PS1582013,68.7,135.6,0
2012-2013,SU025,Lamoille North SU,PS325,Waterville Elementary School,78,PS3252013,8.3,21.3,0
2012-2013,SU025,Lamoille North SU,PS404,Lamoille Union Middle School #18,256,PS4042013,28.6,47.23,0
2012-2013,SU025,Lamoille North SU,SU025,Lamoille North SU,0,SU0252013,0,19.64,0
2012-2013,SU026,Lamoille South SU,PS156,Elmore School,18,PS1562013,1,3.23,0
2012-2013,SU026,Lamoille South SU,PS194,Morristown Elem Schools,282,PS1942013,24.1,54.56,0
2012-2013,SU026,Lamoille South SU,PS224,Peoples Academy,271,PS2242013,25.27,49.52,0
2012-2013,SU026,Lamoille South SU,PS286,Stowe Elementary School,297,PS2862013,23.25,45.11,0
2012-2013,SU026,Lamoille South SU,PS287,Stowe Middle/High School,399,PS2872013,35.35,71.78,0
2012-2013,SU026,Lamoille South SU,PS394,Peoples Academy Middle School,282,PS3942013,23,41.6,0
2012-2013,SU026,Lamoille South SU,SU026,Lamoille South SU,0,SU0262013,2.5,25.17,0
2012-2013,SU027,Orange East SU,PS037,Bradford Elementary School,202,PS0372013,20.6,46.51,0
2012-2013,SU027,Orange East SU,PS202,Newbury Elementary School,125,PS2022013,13.8,35.04,0
2012-2013,SU027,Orange East SU,PS220,Oxbow UHS #30,418,PS2202013,54,103.04,0
2012-2013,SU027,Orange East SU,PS298,Thetford Elementary School,203,PS2982013,20.9,50.3,0
2012-2013,SU027,Orange East SU,PS310,Waits River Valley US #36,199,PS3102013,27,57.43,0
2012-2013,SU027,Orange East SU,SU027,Orange East SU,0,SU0272013,5.15,12.15,0
2012-2013,SU028,Orange Southwest SU,PS038,Braintree School,72,PS0382013,7.8,16.25,0
2012-2013,SU028,Orange Southwest SU,PS047,Brookfield Elementary School,76,PS0472013,7.9,16.9,0
2012-2013,SU028,Orange Southwest SU,PS237,Randolph UHS #2,429,PS2372013,57.05,85.4,0
2012-2013,SU028,Orange Southwest SU,PS359,Randolph Elementary School,299,PS3592013,25.35,52.15,0
2012-2013,SU028,Orange Southwest SU,SU028,Orange Southwest SU,0,SU0282013,4.5,49.5,0
2012-2013,SU029,Orange North SU,PS215,Orange Center School,93,PS2152013,10.5,22.7,0
2012-2013,SU029,Orange North SU,PS322,Washington Village School,82,PS3222013,8.4,18.3,0
2012-2013,SU029,Orange North SU,PS343,Williamstown Elem School,213,PS3432013,16.1,37.6,0
2012-2013,SU029,Orange North SU,PS344,Williamstown Middle/High School,312,PS3442013,23.5,50,0
2012-2013,SU029,Orange North SU,SU029,Orange North SU,0,SU0292013,0,9,0
2012-2013,SU030,Orange Windsor SU,PS069,Chelsea Elem High School,181,PS0692013,17.9,29.6,0
2012-2013,SU030,Orange Windsor SU,PS206,Newton School,125,PS2062013,10.7,16.7,0
2012-2013,SU030,Orange Windsor SU,PS263,Sharon Elementary School,115,PS2632013,8.6,16.89,0
2012-2013,SU030,Orange Windsor SU,PS274,So Royalton Elem/High School,340,PS2742013,31.1,52.5,0
2012-2013,SU030,Orange Windsor SU,PS303,Tunbridge Central School,117,PS3032013,9.2,17.03,0
2012-2013,SU030,Orange Windsor SU,SU030,Orange Windsor SU,0,SU0302013,11.7,63.55,0
2012-2013,SU031,North Country SU,PS044,Brighton Elementary School,76,PS0442013,12.52,26.82,0
2012-2013,SU031,North Country SU,PS067,Charleston Elem School,97,PS0672013,11.21,25.3,0
2012-2013,SU031,North Country SU,PS077,Coventry Village School,108,PS0772013,12.91,22.71,0
2012-2013,SU031,North Country SU,PS084,Derby Elementary School,362,PS0842013,35,87.99,0
2012-2013,SU031,North Country SU,PS144,Holland Elementary School,61,PS1442013,7.3,16.9,0
2012-2013,SU031,North Country SU,PS166,Lowell Graded School,106,PS1662013,10.06,24.56,0
2012-2013,SU031,North Country SU,PS204,Newport City Elem Schools,320,PS2042013,32,76.37,0
2012-2013,SU031,North Country SU,PS205,Newport Town School,93,PS2052013,11.71,30.41,0
2012-2013,SU031,North Country SU,PS208,North Country UHS #22A,850,PS2082013,96.6,186.15,0
2012-2013,SU031,North Country SU,PS302,Troy Elementary School,158,PS3022013,17,38.9,0
2012-2013,SU031,North Country SU,PS364,North Country Union Jr High #22B,272,PS3642013,33,66.85,0
2012-2013,SU031,North Country SU,PS374,Jay/Westfield Joint School,86,PS3742013,9.8,18.2,0
2012-2013,SU031,North Country SU,SU031,North Country SU,0,SU0312013,6.1,67.6,0
2012-2013,SU032,Washington Central SU,PS033,Berlin Elementary School,178,PS0332013,18.9,40.43,0
2012-2013,SU032,Washington Central SU,PS056,Calais Elementary School,114,PS0562013,11.3,25.7,0
2012-2013,SU032,Washington Central SU,PS091,East Montpelier Elem School,208,PS0912013,19.9,38.33,0
2012-2013,SU032,Washington Central SU,PS181,Rumney Memorial School (Middlesex),163,PS1812013,15.15,30.96,0
2012-2013,SU032,Washington Central SU,PS305,U32 UHS #32,787,PS3052013,70.6,146.87,0
2012-2013,SU032,Washington Central SU,PS357,Doty Memorial School,60,PS3572013,7.95,16.65,0
2012-2013,SU032,Washington Central SU,SU032,Washington Central SU,0,SU0322013,2,22.8,0
2012-2013,SU033,Rutland South SU,PS071,Clarendon Elementary School,163,PS0712013,19.8,40.79,0
2012-2013,SU033,Rutland South SU,PS183,Mill River US #40,535,PS1832013,58,107.27,0
2012-2013,SU033,Rutland South SU,PS269,Shrewsbury Mountain School,52,PS2692013,7.4,14.62,0
2012-2013,SU033,Rutland South SU,PS317,Wallingford Village School,124,PS3172013,11.2,22.6,0
2012-2013,SU033,Rutland South SU,SU033,Rutland South SU,0,SU0332013,2.2,19.91,0
2012-2013,SU034,Orleans Central SU,PS007,Albany Community School,86,PS0072013,8.5,21.5,0
2012-2013,SU034,Orleans Central SU,PS022,Barton Graded School,166,PS0222013,14.3,33.3,0
2012-2013,SU034,Orleans Central SU,PS049,Brownington Central School,104,PS0492013,10.4,18.4,0
2012-2013,SU034,Orleans Central SU,PS118,Glover Community School,122,PS1182013,10,22.7,0
2012-2013,SU034,Orleans Central SU,PS147,Irasburg Village School,125,PS1472013,10.86,23.23,0
2012-2013,SU034,Orleans Central SU,PS157,Lake Region UHS #24,359,PS1572013,30.87,64.03,0
2012-2013,SU034,Orleans Central SU,PS217,Orleans Elementary School,103,PS2172013,10.4,21.63,0
2012-2013,SU034,Orleans Central SU,SU034,Orleans Central SU,0,SU0342013,18.09,42.39,0
2012-2013,SU035,Orleans Southwest SU,PS078,Craftsbury Schools,152,PS0782013,17.65,35.55,0
2012-2013,SU035,Orleans Southwest SU,PS126,Lakeview US #43,67,PS1262013,7,15.7,0
2012-2013,SU035,Orleans Southwest SU,PS131,Hardwick Elementary School,238,PS1312013,25.4,50.6,0
2012-2013,SU035,Orleans Southwest SU,PS139,Hazen UHS #26,366,PS1392013,31.3,55.9,0
2012-2013,SU035,Orleans Southwest SU,PS352,Wolcott Elementary School,128,PS3522013,11.8,32.83,0
2012-2013,SU035,Orleans Southwest SU,PS353,Woodbury Elementary School,43,PS3532013,4.6,10.6,0
2012-2013,SU035,Orleans Southwest SU,SU035,Orleans Southwest SU,0,SU0352013,16.8,37.32,0
2012-2013,SU036,Rutland Northeast SU,PS021,Barstow Memorial School,215,PS0212013,20.78,31.95,0
2012-2013,SU036,Rutland Northeast SU,PS160,Leicester Central School,59,PS1602013,5.2,9.16,0
2012-2013,SU036,Rutland Northeast SU,PS165,Lothrop School,216,PS1652013,19.7,33.23,0
2012-2013,SU036,Rutland Northeast SU,PS200,Neshobe School,326,PS2002013,25.77,46.45,0
2012-2013,SU036,Rutland Northeast SU,PS219,Otter Valley UHS #8,572,PS2192013,44.05,73.87,0
2012-2013,SU036,Rutland Northeast SU,PS290,Sudbury Country School,29,PS2902013,3.4,5,0
2012-2013,SU036,Rutland Northeast SU,PS340,Whiting Village School,37,PS3402013,3.3,5.01,0
2012-2013,SU036,Rutland Northeast SU,SU036,Rutland Northeast SU,0,SU0362013,31.15,154.52,0
2012-2013,SU037,Rutland Central SU,PS232,Proctor Elementary School,159,PS2322013,15.6,32.2,0
2012-2013,SU037,Rutland Central SU,PS233,Proctor Jr/Sr High School,152,PS2332013,16.6,30.4,0
2012-2013,SU037,Rutland Central SU,PS258,Rutland Town Elem School,340,PS2582013,32.9,62.34,0
2012-2013,SU037,Rutland Central SU,PS331,West Rutland School,325,PS3312013,35.06,67.59,0
2012-2013,SU037,Rutland Central SU,SU037,Rutland Central SU,0,SU0372013,2.15,19.8,0
2012-2013,SU038,Rutland Southwest SU,PS182,Middletown Springs Elem School,60,PS1822013,6.7,13.6,0
2012-2013,SU038,Rutland Southwest SU,PS229,Poultney Elementary School,179,PS2292013,17.9,37.9,0
2012-2013,SU038,Rutland Southwest SU,PS230,Poultney High School,236,PS2302013,25.27,49.77,0
2012-2013,SU038,Rutland Southwest SU,PS300,Tinmouth Elementary School,48,PS3002013,6.24,12.15,0
2012-2013,SU038,Rutland Southwest SU,PS328,Wells Village School,75,PS3282013,9.3,20.97,0
2012-2013,SU038,Rutland Southwest SU,SU038,Rutland Southwest SU,0,SU0382013,2.98,21.87,0
2012-2013,SU039,Rutland Windsor SU,PS035,Black River US #39,176,PS0352013,21.35,40.05,0
2012-2013,SU039,Rutland Windsor SU,PS167,Ludlow Elementary School,112,PS1672013,13.84,27.67,0
2012-2013,SU039,Rutland Windsor SU,PS198,Mt Holly School,81,PS1982013,10.62,17.51,0
2012-2013,SU039,Rutland Windsor SU,SU039,Rutland Windsor SU,0,SU0392013,1,9.99,0
2012-2013,SU040,Rutland City SD,PS253,Rutland High School,907,PS2532013,96.32,165.37,0
2012-2013,SU040,Rutland City SD,PS255,Northeast Primary School,222,PS2552013,24.25,44.92,0
2012-2013,SU040,Rutland City SD,PS256,Northwest Primary School,236,PS2562013,26.5,48.5,0
2012-2013,SU040,Rutland City SD,PS365,Rutland Middle School,305,PS3652013,30.31,54.06,0
2012-2013,SU040,Rutland City SD,PS382,Rutland Intermediate School,617,PS3822013,56.7,110.95,0
2012-2013,SU040,Rutland City SD,SU040,Rutland City SD,0,SU0402013,12.9,101.78,0
2012-2013,SU041,Washington Northeast SU,PS055,Cabot School,174,PS0552013,23.55,42.95,0
2012-2013,SU041,Washington Northeast SU,PS304,Twinfield US #33,395,PS3042013,41.52,81.76,0
2012-2013,SU041,Washington Northeast SU,SU041,Washington Northeast SU,0,SU0412013,0,8.25,0
2012-2013,SU042,Washington West SU,PS107,Fayston Elementary School,92,PS1072013,10.4,22.6,0
2012-2013,SU042,Washington West SU,PS138,Harwood UHS #19,574,PS1382013,56.4,103.9,0
2012-2013,SU042,Washington West SU,PS193,Moretown Elementary School,96,PS1932013,10.7,23.4,0
2012-2013,SU042,Washington West SU,PS315,Waitsfield Elem School,128,PS3152013,14.3,26.7,0
2012-2013,SU042,Washington West SU,PS320,Warren Elementary School,157,PS3202013,15.3,33.3,0
2012-2013,SU042,Washington West SU,PS390,Thatcher Brook Primary US #45,358,PS3902013,30.5,61.3,0
2012-2013,SU042,Washington West SU,PS391,Crossett Brook Middle US #45,283,PS3912013,27,56.4,0
2012-2013,SU042,Washington West SU,PS393,Harwood Union Middle UHS #19,148,PS3932013,15.9,25,0
2012-2013,SU042,Washington West SU,SU042,Washington West SU,0,SU0422013,0,12.6,0
2012-2013,SU043,Washington South SU,PS210,Northfield Elementary School,272,PS2102013,25.8,52.6,0
2012-2013,SU043,Washington South SU,PS211,Northfield Middle/High School,329,PS2112013,33.4,65,0
2012-2013,SU043,Washington South SU,PS250,Roxbury Village School,25,PS2502013,5.1,9.57,0
2012-2013,SU043,Washington South SU,SU043,Washington South SU,0,SU0432013,0,11.1,0
2012-2013,SU045,Montpelier SD,PS173,Main Street Middle School,196,PS1732013,21.3,47.5,0
2012-2013,SU045,Montpelier SD,PS191,Montpelier High School,310,PS1912013,33.3,67.9,0
2012-2013,SU045,Montpelier SD,PS308,Union Elementary School,437,PS3082013,36.9,75.6,0
2012-2013,SU045,Montpelier SD,SU045,Montpelier SD,0,SU0452013,1,15.2,0
2012-2013,SU046,Windham Central SU,PS086,Dover Elementary School,86,PS0862013,6,11.65,0
2012-2013,SU046,Windham Central SU,PS149,Jamaica Village School,68,PS1492013,5,14.5,0
2012-2013,SU046,Windham Central SU,PS161,Leland And Gray UHS #34,346,PS1612013,32.08,53.38,0
2012-2013,SU046,Windham Central SU,PS177,Marlboro Elementary School,86,PS1772013,8.05,17.73,0
2012-2013,SU046,Windham Central SU,PS301,Townshend Village School,74,PS3012013,7,15.4,0
2012-2013,SU046,Windham Central SU,PS319,Wardsboro Central School,57,PS3192013,5.15,10.15,0
2012-2013,SU046,Windham Central SU,PS347,Windham Elementary School,14,PS3472013,2,3.7,0
2012-2013,SU046,Windham Central SU,PS408,Newbrook Elementary School,141,PS4082013,9.4,20.07,0
2012-2013,SU046,Windham Central SU,SU046,Windham Central SU,0,SU0462013,14.16,63.59,0
2012-2013,SU047,Windham Northeast SU,PS024,Bellows Falls Middle School,251,PS0242013,22.4,47.27,0
2012-2013,SU047,Windham Northeast SU,PS025,Bellows Falls UHS #27,345,PS0252013,40.27,78.77,0
2012-2013,SU047,Windham Northeast SU,PS120,Athens/Grafton Joint Contract School,83,PS1202013,8.8,16.9,0
2012-2013,SU047,Windham Northeast SU,PS249,Central Elementary School,175,PS2492013,19.7,43.48,0
2012-2013,SU047,Windham Northeast SU,PS260,Saxtons River Elem School,107,PS2602013,11.8,25.6,0
2012-2013,SU047,Windham Northeast SU,PS334,Westminster Schools,200,PS3342013,22.5,42.76,0
2012-2013,SU047,Windham Northeast SU,SU047,Windham Northeast SU,0,SU0472013,5.33,59.39,0
2012-2013,SU048,Windham Southeast SU,PS001,Academy School,377,PS0012013,40,78.4,0
2012-2013,SU048,Windham Southeast SU,PS040,Brattleboro UHS #6,841,PS0402013,82.8,182.9,0
2012-2013,SU048,Windham Southeast SU,PS087,Dummerston Schools,162,PS0872013,16.8,31,0
2012-2013,SU048,Windham Southeast SU,PS128,Guilford Central School,136,PS1282013,16.7,34.3,0
2012-2013,SU048,Windham Southeast SU,PS234,Putney Central School,163,PS2342013,20.8,38.6,0
2012-2013,SU048,Windham Southeast SU,PS313,Vernon Elementary School,153,PS3132013,15.6,34.5,0
2012-2013,SU048,Windham Southeast SU,PS367,Bratt Area Middle School #6,253,PS3672013,32,53.9,0
2012-2013,SU048,Windham Southeast SU,PS383,Oak Grove School,122,PS3832013,15.1,29.7,0
2012-2013,SU048,Windham Southeast SU,PS385,Green Street School,249,PS3852013,23.2,47.1,0
2012-2013,SU048,Windham Southeast SU,SU048,Windham Southeast SU,0,SU0482013,19.5,64.1,0
2012-2013,SU049,Windham Southwest SU,PS083,Deerfield Valley Elem School,0,PS0832013,15.6,26.4,0
2012-2013,SU049,Windham Southwest SU,PS129,Halifax School,51,PS1292013,6.77,12.53,0
2012-2013,SU049,Windham Southwest SU,PS240,Readsboro Elementary School,51,PS2402013,6.5,13.75,0
2012-2013,SU049,Windham Southwest SU,PS284,Stamford Elementary School,62,PS2842013,8,13.35,0
2012-2013,SU049,Windham Southwest SU,PS341,Whitingham Elementary School,82,PS3412013,11.8,22.3,0
2012-2013,SU049,Windham Southwest SU,PS346,Twin Valley High School,153,PS3462013,20.7,40.5,0
2012-2013,SU049,Windham Southwest SU,PS403,Twin Valley Middle School,117,PS4032013,11.5,23.2,0
2012-2013,SU049,Windham Southwest SU,SU049,Windham Southwest SU,0,SU0492013,3.4,23.7,0
2012-2013,SU050,Windsor Northwest SU,PS034,Bethel Elementary School,139,PS0342013,11.1,21.95,0
2012-2013,SU050,Windsor Northwest SU,PS247,Rochester School,140,PS2472013,17.3,32.52,0
2012-2013,SU050,Windsor Northwest SU,PS285,Stockbridge Central School,49,PS2852013,5.84,10.61,0
2012-2013,SU050,Windsor Northwest SU,PS338,Whitcomb Jr/Sr High School,124,PS3382013,12.75,22.72,0
2012-2013,SU050,Windsor Northwest SU,SU050,Windsor Northwest SU,0,SU0502013,12.03,46.77,0
2012-2013,SU051,Windsor Central SU,PS017,Barnard Academy,61,PS0172013,6.4,12.82,0
2012-2013,SU051,Windsor Central SU,PS042,Bridgewater Village School,43,PS0422013,6,11.44,0
2012-2013,SU051,Windsor Central SU,PS226,Pomfret School,58,PS2262013,6.53,14.81,0
2012-2013,SU051,Windsor Central SU,PS239,Reading Elementary School,37,PS2392013,4.96,10.89,0
2012-2013,SU051,Windsor Central SU,PS267,Killington Elementary School,81,PS2672013,8.09,17.67,0
2012-2013,SU051,Windsor Central SU,PS355,Woodstock Elementary School,177,PS3552013,17.9,31.14,0
2012-2013,SU051,Windsor Central SU,PS356,Woodstock Sr UHS #4,379,PS3562013,41.4,94.68,0
2012-2013,SU051,Windsor Central SU,PS368,Woodstock Union Middle School,144,PS3682013,14.8,23.6,0
2012-2013,SU051,Windsor Central SU,SU051,Windsor Central SU,0,SU0512013,2.57,17.23,0
2012-2013,SU052,Windsor Southeast SU,PS008,Albert Bridge School (W Wind),77,PS0082013,6,14,0
2012-2013,SU052,Windsor Southeast SU,PS137,Hartland Elementary School,299,PS1372013,28.7,57.9,0
2012-2013,SU052,Windsor Southeast SU,PS348,Windsor High School,273,PS3482013,33.53,54.06,0
2012-2013,SU052,Windsor Southeast SU,PS349,Windsor State Street School,236,PS3492013,20.45,40.27,0
2012-2013,SU052,Windsor Southeast SU,PS407,Weathersfield School,231,PS4072013,21,45.2,0
2012-2013,SU052,Windsor Southeast SU,SU052,Windsor Southeast SU,0,SU0522013,3,25.1,0
2012-2013,SU053,Windsor Southwest SU,PS063,Cavendish Town Elem School,97,PS0632013,7.9,21.9,0
2012-2013,SU053,Windsor Southwest SU,PS070,Chester Andover US #29,226,PS0702013,20.48,45.66,0
2012-2013,SU053,Windsor Southwest SU,PS111,Flood Brook US #20,252,PS1112013,26,58.84,0
2012-2013,SU053,Windsor Southwest SU,PS124,Green Mountain UHS #35,322,PS1242013,28.92,63.56,0
2012-2013,SU053,Windsor Southwest SU,SU053,Windsor Southwest SU,0,SU0532013,5.2,26.55,0
2012-2013,SU054,Hartford SD,PS134,Hartford High School,569,PS1342013,61.97,109.51,0
2012-2013,SU054,Hartford SD,PS135,Hartford Mem Middle School,331,PS1352013,33.8,52.14,0
2012-2013,SU054,Hartford SD,PS339,White River School,191,PS3392013,14.92,23.82,0
2012-2013,SU054,Hartford SD,PS378,Dothan Brook School,242,PS3782013,19.9,29,0
2012-2013,SU054,Hartford SD,PS380,Ottauquechee School,218,PS3802013,15.2,22.81,0
2012-2013,SU054,Hartford SD,SU054,Hartford SD,0,SU0542013,33.22,110.05,0
2012-2013,SU055,Sau 70 ,PS176,Marion W Cross School,310,PS1762013,27.5,57.45,0
2012-2013,SU056,Springfield SD,PS245,Riverside Middle School,275,PS2452013,29.9,54.3,0
2012-2013,SU056,Springfield SD,PS277,Elm Hill School,295,PS2772013,24.7,64,0
2012-2013,SU056,Springfield SD,PS278,Springfield High School,465,PS2782013,37.35,80.85,0
2012-2013,SU056,Springfield SD,PS280,Union Street School,286,PS2802013,26.3,60.8,0
2012-2013,SU056,Springfield SD,SU056,Springfield SD,0,SU0562013,13,62,0
2012-2013,SU057,Blue Mountain SD,PS036,Blue Mountain US #21,400,PS0362013,41.5,87.86,0
2012-2013,SU059,Essex Town SD,PS099,Essex Elementary School,396,PS0992013,31.6,72.3,0
2012-2013,SU059,Essex Town SD,PS101,Essex Middle School,440,PS1012013,34.7,73.7,0
2012-2013,SU059,Essex Town SD,PS113,Founders Memorial School,385,PS1132013,29.2,66.2,0
2012-2013,SU059,Essex Town SD,SU059,Essex Town SD,0,SU0592013,1.7,24.5,0
2012-2013,SU060,Battenkill Valley SU,PS011,Arlington Memorial High School,199,PS0112013,25,49.5,0
2012-2013,SU060,Battenkill Valley SU,PS109,Fisher School,163,PS1092013,18.1,34.5,0
2012-2013,SU060,Battenkill Valley SU,SU060,Battenkill Valley SU,0,SU0602013,0,10.7,0
2012-2013,SU061,Barre SU,PS020,Barre Town Elementary School,804,PS0202013,75.5,145.5,0
2012-2013,SU061,Barre SU,PS276,Spaulding UHS #41,728,PS2762013,115,181.2,0
2012-2013,SU061,Barre SU,PS381,Barre City Elem/Middle School,823,PS3812013,90.5,177.2,0
2012-2013,SU061,Barre SU,SU061,Barre SU,0,SU0612013,3,25,0
2012-2013,SU064,Rivendell Interstate SD,U146,Rivendell Interstate School District,0,U1462013,0,10.52,0
2012-2013,SU064,Rivendell Interstate SD,PI004,Rivendell Academy,217,PI0042013,23.42,45.09,0
2012-2013,SU064,Rivendell Interstate SD,PS106,Samuel Morey Elementary School,138,PS1062013,12.93,29.85,0
2012-2013,SU064,Rivendell Interstate SD,PS399,Westshire School,85,PS3992013,9.86,21.77,0
2012-2013,TE001,Patricia Hannaford Career Ctr,VC001,Patricia Hannaford Career Ctr,0,VC0012013,18,35.8,0
2012-2013,TE002,SW VT Career Development Ctr,VC009,SW VT Career Development Ctr,0,VC0092013,18.5,34,0
2012-2013,TE003,River Valley Technical Center,VC016,River Valley Technical Center,0,VC0162013,17,29.35,0
2013-2014,SU001,Addison Northeast SU,PS023,Beeman Elementary School,95,PS0232014,8.9,16.9,0
2013-2014,SU001,Addison Northeast SU,PS045,Bristol Elementary School,260,PS0452014,27.5,61,0
2013-2014,SU001,Addison Northeast SU,PS162,Lincoln Community School,125,PS1622014,10.5,19.8,0
2013-2014,SU001,Addison Northeast SU,PS189,Monkton Central School,149,PS1892014,11.9,25.4,0
2013-2014,SU001,Addison Northeast SU,PS195,Mt Abraham UHS #28,753,PS1952014,73.5,130.3,0
2013-2014,SU001,Addison Northeast SU,PS246,Robinson School,155,PS2462014,13.8,27.6,0
2013-2014,SU001,Addison Northeast SU,SU001,Addison Northeast SU,0,SU0012014,4.6,43.3,0
2013-2014,SU002,Addison Northwest SU,PS002,Addison Central School,68,PS0022014,8.2,17.5,0
2013-2014,SU002,Addison Northwest SU,PS108,Ferrisburgh Central School,192,PS1082014,18.9,36.65,0
2013-2014,SU002,Addison Northwest SU,PS311,Vergennes Ues #44,256,PS3112014,21,46,0
2013-2014,SU002,Addison Northwest SU,PS312,Vergennes UHS #5,511,PS3122014,50.4,84.9,0
2013-2014,SU002,Addison Northwest SU,SU002,Addison Northwest SU,0,SU0022014,8,22.65,0
2013-2014,SU003,Addison Central SU,PS043,Bridport Central School,73,PS0432014,9.59,20.65,0
2013-2014,SU003,Addison Central SU,PS076,Bingham Memorial School,87,PS0762014,9.47,18.33,0
2013-2014,SU003,Addison Central SU,PS179,Middlebury Id#4,409,PS1792014,34.9,89.35,0
2013-2014,SU003,Addison Central SU,PS180,Middlebury Union High School,586,PS1802014,51.1,96.35,0
2013-2014,SU003,Addison Central SU,PS244,Ripton Elementary School,38,PS2442014,5.46,12.46,0
2013-2014,SU003,Addison Central SU,PS259,Salisbury Community School,90,PS2592014,9.62,18.93,0
2013-2014,SU003,Addison Central SU,PS268,Shoreham Elementary School,68,PS2682014,10.12,18.12,0
2013-2014,SU003,Addison Central SU,PS336,Weybridge Elementary School,50,PS3362014,5.34,12.54,0
2013-2014,SU003,Addison Central SU,PS366,Middlebury Union Middle School #3,299,PS3662014,31.9,63.35,0
2013-2014,SU003,Addison Central SU,SU003,Addison Central SU,0,SU0032014,8.85,46.84,0
2013-2014,SU004,Addison Rutland SU,PS031,Benson Village School,85,PS0312014,10.7,24.7,0
2013-2014,SU004,Addison Rutland SU,PS061,Castleton Hubbardton US #42,368,PS0612014,34.4,85.1,0
2013-2014,SU004,Addison Rutland SU,PS103,Fair Haven Grade School,320,PS1032014,32.3,71.7,0
2013-2014,SU004,Addison Rutland SU,PS104,Fair Haven UHS #16,434,PS1042014,43.6,94,0
2013-2014,SU004,Addison Rutland SU,PS218,Orwell Village School,111,PS2182014,11.1,24.9,0
2013-2014,SU004,Addison Rutland SU,SU004,Addison Rutland SU,0,SU0042014,7,25.2,0
2013-2014,SU005,Southwest Vermont SU,PS029,Bennington Elementary School,247,PS0292014,17.7,30.48,0
2013-2014,SU005,Southwest Vermont SU,PS188,Molly Stark School,388,PS1882014,24.5,41.29,0
2013-2014,SU005,Southwest Vermont SU,PS192,Monument Elementary School,138,PS1922014,9.4,17.73,0
2013-2014,SU005,Southwest Vermont SU,PS196,Mt Anthony Sr UHS #14,986,PS1962014,68,113.9,0
2013-2014,SU005,Southwest Vermont SU,PS197,Mt Anthony Union Middle School,570,PS1972014,39,70.5,0
2013-2014,SU005,Southwest Vermont SU,PS231,Pownal Elementary School,246,PS2312014,18.8,32.3,0
2013-2014,SU005,Southwest Vermont SU,PS262,Shaftsbury Elem School,241,PS2622014,15.8,23.4,0
2013-2014,SU005,Southwest Vermont SU,PS354,Woodford Hollow School,17,PS3542014,2.8,4.5,0
2013-2014,SU005,Southwest Vermont SU,SU005,Southwest Vermont SU,0,SU0052014,92.21,276.35,0
2013-2014,SU006,Bennington Rutland SU,PS079,Currier Memorial US #23,91,PS0792014,9.1,25.98,0
2013-2014,SU006,Bennington Rutland SU,PS085,Dorset School,179,PS0852014,18.97,41.87,0
2013-2014,SU006,Bennington Rutland SU,PS111,Flood Brook USD #301,0,PS1112014,26.14,60.68,0
2013-2014,SU006,Bennington Rutland SU,PS175,Manchester Elem/Middle School,384,PS1752014,40.06,86.91,0
2013-2014,SU006,Bennington Rutland SU,PS293,Sunderland Elem School,65,PS2932014,7.3,13.1,0
2013-2014,SU006,Bennington Rutland SU,PS392,Mettawee Community US #47,156,PS3922014,18.2,42.8,0
2013-2014,SU006,Bennington Rutland SU,SU006,Bennington Rutland SU,0,SU0062014,9.94,36.34,0
2013-2014,SU007,Colchester SD,PS072,Colchester High School,713,PS0722014,58.3,120.6,0
2013-2014,SU007,Colchester SD,PS073,Colchester Middle School,446,PS0732014,37,86.6,0
2013-2014,SU007,Colchester SD,PS174,Malletts Bay School,462,PS1742014,30.9,81.48,0
2013-2014,SU007,Colchester SD,PS227,Porters Point School,262,PS2272014,18.35,52.01,0
2013-2014,SU007,Colchester SD,PS309,Union Memorial School,246,PS3092014,17.65,49.41,0
2013-2014,SU007,Colchester SD,SU007,Colchester SD,0,SU0072014,3.9,48,0
2013-2014,SU008,Caledonia North SU,PS051,Burke Town School,179,PS0512014,17.05,26.05,0
2013-2014,SU008,Caledonia North SU,PS170,Lyndon Town School,445,PS1702014,44.5,57.3,0
2013-2014,SU008,Caledonia North SU,PS184,Millers Run School US #37,113,PS1842014,10.55,18.25,0
2013-2014,SU008,Caledonia North SU,PS201,Newark School,55,PS2012014,5.92,9.82,0
2013-2014,SU008,Caledonia North SU,PS294,Sutton Village School,100,PS2942014,8.71,15.11,0
