,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Operating District Financial Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,7th,8th,,,9th,,10th,11th,,12th,AW,PD,Total
,,,,,,,,,,,Statewide Total,"5,516",432,,,"5,623","6,217","6,158","6,126","6,134",,,,"6,249","6,250","6,299","6,413",,,"6,384",,"6,273","6,352",,"6,265",92,1,"86,784"
,Addison County,,,,,Addison Central SU,Addison Central SU,,,,Addison Central SU,77, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,77
,,,,,,,Bridport,,,,Bridport Central School,17, ,,,8,8,9,13,12,,,,3,15, , ,,, ,, , ,, , , ,85
,,,,,,,Cornwall,,,,Bingham Memorial School, , ,,,14,7,11,10,13,,,,9,19, , ,,, ,, , ,, , , ,83
,,,,,,,Middlebury ID #4,,,,Middlebury ID #4 School, , ,,,58,61,50,57,51,,,,59,63, , ,,, ,, , ,, , , ,399
,,,,,,,Middlebury UHSD #3,,,,Middlebury Senior UHSD #3, , ,,, , , , , ,,,, , , , ,,,149,,146,175,,175,7, ,652
,,,,,,,,,,,Middlebury Union Middle School #3, , ,,, , , , , ,,,, , ,142,144,,, ,, , ,, , , ,286
,,,,,,,Ripton,,,,Ripton Elementary School,2, ,,,5,5,6,4,4,,,,8,10, , ,,, ,, , ,, , , ,44
,,,,,,,Salisbury,,,,Salisbury Community School,7, ,,,10,13,16,5,13,,,,12,10, , ,,, ,, , ,, , , ,86
,,,,,,,Shoreham,,,,Shoreham Elementary School, , ,,,11,12,12,10,13,,,,9,8, , ,,, ,, , ,, , , ,75
,,,,,,,Weybridge,,,,Weybridge Elementary School, , ,,,1,8,2,8,6,,,,6,22, , ,,, ,, , ,, , , ,53
,,,,,,Addison Northeast SU,Addison Northeast SU,,,,Addison Northeast SU,80, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,80
,,,,,,,Bristol,,,,Bristol Elementary School, , ,,,45,41,52,29,29,,,,41,43, , ,,, ,, , ,, , , ,280
,,,,,,,Lincoln,,,,Lincoln Community School, , ,,,18,18,19,10,17,,,,19,15, , ,,, ,, , ,, , , ,116
,,,,,,,Monkton,,,,Monkton Central School, , ,,,16,26,20,16,18,,,,31,34, , ,,, ,, , ,, , , ,161
,,,,,,,Mt Abraham UHSD #28 (District),,,,Mt Abraham UHSD #28 (School), , ,,, , , , , ,,,, , ,120,121,,,122,,132,131,,147, , ,773
,,,,,,,New Haven,,,,Beeman Elementary School, , ,,,14,18,15,9,14,,,,18,15, , ,,, ,, , ,, , , ,103
,,,,,,,Starksboro,,,,Robinson School, , ,,,19,24,27,25,19,,,,23,26, , ,,, ,, , ,, , , ,163
,,,,,,Addison Northwest SU,Addison,,,,Addison Central School, ,5,,, ,16,9,12,14,,,,18,18, , ,,, ,, , ,, , , ,92
,,,,,,,Addison Northwest SU,,,,Addison Northwest SU,72, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,72
,,,,,,,Ferrisburgh,,,,Ferrisburgh Central School, , ,,,31,30,31,33,31,,,,21,31, , ,,, ,, , ,, , , ,208
,,,,,,,Vergennes UESD #44 (District),,,,Vergennes UESD #44 (School), ,39,,, ,38,32,41,28,,,,56,27, , ,,, ,, , ,, , , ,261
,,,,,,,Vergennes UHSD #5 (District),,,,Vergennes UHSD #5 (School), , ,,, , , , , ,,,, , ,85,88,,,85,,93,109,,111,1, ,572
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School, , ,,,16,12,13,18,13,,,,9,8,28,12,,, ,, , ,, , , ,129
,,,,,,Rutland Northeast SU,Leicester,,,,Leicester Central School,8, ,,,8,9,7,7,7,,,,3,7, , ,,, ,, , ,, , , ,56
,,,,,,,Whiting,,,,Whiting Village School,19, ,,,6,6,4,5,2,,,,5,2, , ,,, ,, , ,, , , ,49
,,,,,,,,,,,County Total,282,44,,,280,352,335,312,304,,,,350,373,375,365,,,356,,371,415,,433,8, ,"4,955"
,Bennington County,,,,,Battenkill Valley SU,Arlington,,,,Arlington Memorial, , ,,, , , , , ,,,, ,29,22,25,,,28,,21,23,,29, , ,177
,,,,,,,,,,,Fisher School,15, ,,,25,17,25,23,27,,,,27, , , ,,, ,, , ,, , , ,159
,,,,,,Bennington Rutland SU,Dorset,,,,Dorset School, , ,,,20,14,18,22,17,,,,20,13,22,17,,, ,, , ,, , , ,163
,,,,,,,Manchester,,,,Manchester Elementary/Middle School,33, ,,,40,34,40,48,37,,,,45,43,59,68,,, ,, , ,, , , ,447
,,,,,,,Sunderland,,,,Sunderland Elementary School, , ,,,14,15,7,8,9,,,,5,6, , ,,, ,, , ,, , , ,64
,,,,,,Southwest Vermont SU,Bennington ID,,,,Bennington Elementary School, , ,,,35,47,46,41,44,,,,55, , , ,,, ,, , ,, , , ,268
,,,,,,,,,,,Molly Stark School, , ,,,68,75,56,57,58,,,,67, , , ,,, ,, , ,, , , ,381
