,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2003-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Operating District Financial Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,EU,7th,,,8th,,9th,10th,,11th,12th,SU,AW,PD,Total
,,,,,,,,,,,Statewide Total,"3,403","3,542",,,"2,716","6,519","6,545","6,760","7,031",,,,"7,219","7,550",63,"7,738",,,"7,998",,"7,556","7,198",,"6,860","6,682",120,22,4,"95,526"
,Addison County,,,,,Addison Central SU,Addison Central SU,,,,Addison Central SU,43,2,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,45
,,,,,,,Bridport,,,,Bridport Central School,4,17,,, ,14,14,18,15,,,,7,19, ,6,,,6,, , ,, , , , , ,120
,,,,,,,Cornwall,,,,Bingham Memorial School, , ,,,16,13,9,10,17,,,,13,17, , ,,, ,, , ,, , , , , ,95
,,,,,,,Middlebury ID #4,,,,Middlebury ID #4 School, , ,,,60,53,51,58,74,,,,56,72, , ,,, ,, , ,, , , , , ,424
,,,,,,,Middlebury UHSD #3,,,,Middlebury Senior UHSD #3, , ,,, , , , , ,,,, , , , ,,, ,,177,179,,168,218, , , ,742
,,,,,,,,,,,Middlebury Union Middle School #3, , ,,, , , , , ,,,, , , ,165,,,178,, , ,, , , , , ,343
,,,,,,,Ripton,,,,Ripton Elementary School,3,7,,, ,9,5,10,9,,,,4,6, , ,,, ,, , ,, , , , , ,53
,,,,,,,Salisbury,,,,Salisbury Community School, , ,,,14,15,14,19,19,,,,15,15, , ,,, ,, , ,, , , , , ,111
,,,,,,,Shoreham,,,,Shoreham Elementary School, ,14,,, ,13,13,16,19,,,,21,10, , ,,, ,, , ,, , , , , ,106
,,,,,,,Weybridge,,,,Weybridge Elementary School, ,14,,, ,9,16,13,13,,,,13,9, , ,,, ,, , ,, , , , , ,87
,,,,,,Addison Northeast SU,Addison Northeast SU,,,,Addison Northeast SU,29, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,29
,,,,,,,Bristol,,,,Bristol Elementary School, , ,,,51,38,39,57,62,,,,49,62, , ,,, ,, , ,, , , , , ,358
,,,,,,,Lincoln,,,,Lincoln Community School, ,14,,, ,16,22,13,13,,,,15,17, , ,,, ,, , ,, , , , , ,110
,,,,,,,Monkton,,,,Monkton Central School, ,22,,, ,31,30,28,22,,,,22,27, , ,,, ,, , ,, , , , , ,182
,,,,,,,Mt Abraham UHSD #28 (District),,,,Mt Abraham UHSD #28 (School), , ,,, , , , , ,,,, , , ,177,,,181,,178,137,,151,137,1, , ,962
,,,,,,,New Haven,,,,Beeman Elementary School, ,25,,, ,20,19,21,25,,,,23,18, , ,,, ,, , ,, , , , , ,151
,,,,,,,Starksboro,,,,Robinson School, ,24,,, ,22,24,17,28,,,,32,35, , ,,, ,, , ,, , , , , ,182
,,,,,,Addison Northwest SU,Addison,,,,Addison Central School, ,13,,, ,16,29,17,21,,,,16,14, , ,,, ,, , ,, , , , , ,126
,,,,,,,Addison Northwest SU,,,,Addison Northwest SU,25, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,25
,,,,,,,Ferrisburgh,,,,Ferrisburgh Central School, ,26,,, ,21,27,29,41,,,,25,41, , ,,, ,, , ,, , , , , ,210
,,,,,,,Vergennes UESD #44 (District),,,,Vergennes UESD #44 (School), ,41,,, ,45,52,45,44,,,,45,56, , ,,, ,, , ,, , , , , ,328
,,,,,,,Vergennes UHSD #5 (District),,,,Vergennes UHSD #5 (School), , ,,, , , , , ,,,, , , ,111,,,112,,107,122,,103,87,1,1, ,644
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School, ,14,,, ,14,14,18,25,,,,16,25, ,20,,,21,, , ,, , , , , ,167
,,,,,,Rutland Northeast SU,Leicester,,,,Leicester Central School, ,12,,, ,9,6,9,14,,,,13,12, , ,,, ,, , ,, , , , , ,75
,,,,,,,Whiting,,,,Whiting Village School,10, ,,,1,2,5,1,4,,,,1,5, , ,,, ,, , ,, , , , , ,29
,,,,,,Windsor Northwest SU,Granville,,,,Granville Village School, , ,,, ,4,1,1,4,,,, , , , ,,, ,, , ,, , , , , ,10
,,,,,,,Hancock,,,,Hancock Village School, , ,,,4,3,4,5,4,,,,4, , , ,,, ,, , ,, , , , , ,24
,,,,,,,,,,,County Total,114,245,,,146,367,394,405,473,,,,390,460, ,479,,,498,,462,438,,422,442,2,1, ,"5,738"
,Bennington County,,,,,Battenkill Valley SU,Arlington,,,,Arlington Memorial, , ,,, , , , , ,,,, , , ,44,,,41,,38,42,,40,33, , , ,238
,,,,,,,,,,,Fisher School, , ,,,25,23,21,27,21,,,,29,24, , ,,, ,, , ,, , , , , ,170
,,,,,,,Battenkill Valley SU,,,,Battenkill Valley SU,35, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,35
