,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2007-2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Operating District Financial Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,7th,8th,,,9th,,10th,11th,,12th,AW,PD,Total
,,,,,,,,,,,Statewide Total,"4,580","1,450",,,"4,718","6,250","6,235","6,408","6,486",,,,"6,568","6,583","6,783","6,998",,,"7,108",,"7,213","6,982",,"7,013",82,1,"91,458"
,Addison County,,,,,Addison Central SU,Addison Central SU,,,,Addison Central SU,65, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,65
,,,,,,,Bridport,,,,Bridport Central School,7,10,,, ,6,18,16,15,,,,14,17, , ,,, ,, , ,, , , ,103
,,,,,,,Cornwall,,,,Bingham Memorial School, , ,,,13,9,18,7,14,,,,17,10, , ,,, ,, , ,, , , ,88
,,,,,,,Middlebury ID #4,,,,Middlebury ID #4 School, , ,,,52,48,62,54,58,,,,50,57, , ,,, ,, , ,, , , ,381
,,,,,,,Middlebury UHSD #3,,,,Middlebury Senior UHSD #3, , ,,, , , , , ,,,, , , , ,,,148,,167,180,,174,4, ,673
,,,,,,,,,,,Middlebury Union Middle School #3, , ,,, , , , , ,,,, , ,154,167,,, ,, , ,, , , ,321
,,,,,,,Ripton,,,,Ripton Elementary School,1, ,,,4,5,11,7,8,,,,9,7, , ,,, ,, , ,, , , ,52
,,,,,,,Salisbury,,,,Salisbury Community School, , ,,,12,15,8,17,15,,,,16,10, , ,,, ,, , ,, , , ,93
,,,,,,,Shoreham,,,,Shoreham Elementary School, , ,,,15,11,9,10,19,,,,12,11, , ,,, ,, , ,, , , ,87
,,,,,,,Weybridge,,,,Weybridge Elementary School, , ,,,5,7,21,11,14,,,,10,17, , ,,, ,, , ,, , , ,85
,,,,,,Addison Northeast SU,Addison Northeast SU,,,,Addison Northeast SU,32, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,32
,,,,,,,Bristol,,,,Bristol Elementary School, , ,,,39,47,38,48,49,,,,38,35, , ,,, ,, , ,, , , ,294
,,,,,,,Lincoln,,,,Lincoln Community School, , ,,,17,18,22,13,18,,,,10,23, , ,,, ,, , ,, , , ,121
,,,,,,,Monkton,,,,Monkton Central School, ,20,,, ,34,36,25,15,,,,34,23, , ,,, ,, , ,, , , ,187
,,,,,,,Mt Abraham UHSD #28 (District),,,,Mt Abraham UHSD #28 (School), , ,,, , , , , ,,,, , ,132,152,,,149,,181,163,,154, , ,931
,,,,,,,New Haven,,,,Beeman Elementary School, , ,,,12,20,17,12,25,,,,23,23, , ,,, ,, , ,, , , ,132
,,,,,,,Starksboro,,,,Robinson School, , ,,,18,16,26,25,16,,,,16,26, , ,,, ,, , ,, , , ,143
,,,,,,Addison Northwest SU,Addison,,,,Addison Central School, ,18,,, ,16,16,15,16,,,,18,27, , ,,, ,, , ,, , , ,126
,,,,,,,Addison Northwest SU,,,,Addison Northwest SU,59, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,59
,,,,,,,Ferrisburgh,,,,Ferrisburgh Central School, , ,,,33,23,31,29,31,,,,26,27, , ,,, ,, , ,, , , ,200
,,,,,,,Vergennes UESD #44 (District),,,,Vergennes UESD #44 (School), ,28,,, ,49,30,41,35,,,,37,40, , ,,, ,, , ,, , , ,260
,,,,,,,Vergennes UHSD #5 (District),,,,Vergennes UHSD #5 (School), , ,,, , , , , ,,,, , ,96,106,,,89,,115,113,,119, , ,638
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School, , ,,,12,10,10,25,13,,,,13,11,17,20,,, ,, , ,, , , ,131
,,,,,,Rutland Northeast SU,Leicester,,,,Leicester Central School,5, ,,,9,4,7,9,10,,,,7,8, , ,,, ,, , ,, , , ,59
,,,,,,,Whiting,,,,Whiting Village School,10, ,,,2,7,3,5,4,,,,2,3, , ,,, ,, , ,, , , ,36
,,,,,,Windsor Northwest SU,Granville/Hancock Joint Contract District,,,,Village School,1, ,,,2,3,7,3,5,,,,7,5, , ,,, ,, , ,, , , ,33
,,,,,,,,,,,County Total,180,76,,,245,348,390,372,380,,,,359,380,399,445,,,386,,463,456,,447,4, ,"5,330"
,Bennington County,,,,,Battenkill Valley SU,Arlington,,,,Arlington Memorial, , ,,, , , , , ,,,, ,19,27,24,,,27,,29,38,,39, , ,203
,,,,,,,,,,,Fisher School, , ,,,27,22,23,22,22,,,,23, , , ,,, ,, , ,, , , ,139
,,,,,,,Battenkill Valley SU,,,,Battenkill Valley SU,16, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,16
,,,,,,Bennington Rutland SU,Dorset,,,,Dorset School, , ,,,14,18,12,14,17,,,,18,21,27,34,,, ,, , ,, , , ,175
,,,,,,,Manchester,,,,Manchester Elementary/Middle School, , ,,,34,38,38,40,39,,,,47,45,56,80,,, ,, , ,, , , ,417
,,,,,,,Sunderland,,,,Sunderland Elementary School, , ,,,5,5,5,6,6,,,,11,10, , ,,, ,, , ,, , , ,48
