,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Operating District Financial Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,7th,8th,,,9th,,10th,11th,,12th,AW,PD,Total
,,,,,,,,,,,Statewide Total,"5,195",705,,,"5,547","6,193","6,149","6,179","6,240",,,,"6,263","6,435","6,414","6,474",,,"6,433",,"6,547","6,494",,"6,346",133,3,"87,750"
,Addison County,,,,,Addison Central SU,Addison Central SU,,,,Addison Central SU,82, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,82
,,,,,,,Bridport,,,,Bridport Central School,5, ,,,8,10,14,9,3,,,,14,14, , ,,, ,, , ,, , , ,77
,,,,,,,Cornwall,,,,Bingham Memorial School, , ,,,6,10,11,13,9,,,,18,12, , ,,, ,, , ,, , , ,79
,,,,,,,Middlebury ID #4,,,,Middlebury ID #4 School, , ,,,63,53,56,52,50,,,,63,61, , ,,, ,, , ,, , , ,398
,,,,,,,Middlebury UHSD #3,,,,Middlebury Senior UHSD #3, , ,,, , , , , ,,,, , , , ,,,143,,176,178,,152,9, ,658
,,,,,,,,,,,Middlebury Union Middle School #3, , ,,, , , , , ,,,, , ,138,146,,, ,, , ,, , , ,284
,,,,,,,Ripton,,,,Ripton Elementary School,4, ,,,4,5,1,5,7,,,,9,7, , ,,, ,, , ,, , , ,42
,,,,,,,Salisbury,,,,Salisbury Community School,7, ,,,13,17,5,13,14,,,,11,16, , ,,, ,, , ,, , , ,96
,,,,,,,Shoreham,,,,Shoreham Elementary School, , ,,,11,12,11,13,8,,,,9,6, , ,,, ,, , ,, , , ,70
,,,,,,,Weybridge,,,,Weybridge Elementary School, , ,,,6,3,8,5,8,,,,23,10, , ,,, ,, , ,, , , ,63
,,,,,,Addison Northeast SU,Addison Northeast SU,,,,Addison Northeast SU,67, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,67
,,,,,,,Bristol,,,,Bristol Elementary School, , ,,,45,54,28,35,43,,,,41,48, , ,,, ,, , ,, , , ,294
,,,,,,,Lincoln,,,,Lincoln Community School, , ,,,16,18,12,18,17,,,,18,12, , ,,, ,, , ,, , , ,111
,,,,,,,Monkton,,,,Monkton Central School, , ,,,26,17,20,19,33,,,,31,29, , ,,, ,, , ,, , , ,175
,,,,,,,Mt Abraham UHSD #28 (District),,,,Mt Abraham UHSD #28 (School), , ,,, , , , , ,,,, , ,117,119,,,126,,123,143,,134,4, ,766
,,,,,,,New Haven,,,,Beeman Elementary School, , ,,,19,13,12,12,16,,,,15,9, , ,,, ,, , ,, , , ,96
,,,,,,,Starksboro,,,,Robinson School, , ,,,26,26,24,18,24,,,,27,24, , ,,, ,, , ,, , , ,169
,,,,,,Addison Northwest SU,Addison,,,,Addison Central School, ,17,,, ,10,13,15,17,,,,16,16, , ,,, ,, , ,, , , ,104
,,,,,,,Addison Northwest SU,,,,Addison Northwest SU,59, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , ,59
,,,,,,,Ferrisburgh,,,,Ferrisburgh Central School, , ,,,31,29,30,31,18,,,,30,28, , ,,, ,, , ,, , , ,197
,,,,,,,Vergennes UESD #44 (District),,,,Vergennes UESD #44 (School), ,35,,, ,33,39,28,55,,,,30,43, , ,,, ,, , ,, , , ,263
,,,,,,,Vergennes UHSD #5 (District),,,,Vergennes UHSD #5 (School), , ,,, , , , , ,,,, , ,89,86,,,92,,102,110,,95, , ,574
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School, , ,,,14,13,16,12,7,,,,8,26,15,11,,, ,, , ,, , , ,122
,,,,,,Rutland Northeast SU,Leicester,,,,Leicester Central School,7, ,,,9,7,6,9,4,,,,7,8, , ,,, ,, , ,, , , ,57
,,,,,,,Whiting,,,,Whiting Village School,13, ,,,6,4,7,1,6,,,,3,2, , ,,, ,, , ,, , , ,42
,,,,,,,,,,,County Total,244,52,,,303,334,313,308,339,,,,373,371,359,362,,,361,,401,431,,381,13, ,"4,945"
,Bennington County,,,,,Battenkill Valley SU,Arlington,,,,Arlington Memorial, , ,,, , , , , ,,,, ,21,22,28,,,23,,26,29,,23, , ,172
,,,,,,,,,,,Fisher School,15, ,,,19,27,26,30,24,,,,28, , , ,,, ,, , ,, , , ,169
,,,,,,Bennington Rutland SU,Dorset,,,,Dorset School, , ,,,12,16,22,15,20,,,,12,20,18,27,,, ,, , ,, , , ,162
,,,,,,,Manchester,,,,Manchester Elementary/Middle School,30, ,,,33,35,42,34,41,,,,42,44,60,68,,, ,, , ,, , , ,429
,,,,,,,Sunderland,,,,Sunderland Elementary School, , ,,,17,9,6,9,7,,,,7,7, , ,,, ,, , ,, , , ,62
,,,,,,Southwest Vermont SU,Bennington ID,,,,Bennington Elementary School, , ,,,52,57,49,41,56,,,,38, , , ,,, ,, , ,, , , ,293
,,,,,,,,,,,Molly Stark School, , ,,,74,60,59,66,67,,,,56, , , ,,, ,, , ,, , , ,382
