,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,EU,7th,,,8th,,9th,10th,,11th,12th,SU,AW,PD,Total
,,,,,,,Windham Central SU,,,,Windham Central SU,4, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,4
,,,,,,Windham Northeast SU,Athens/Grafton Contract School District,,,,Grafton Elementary School, , ,,,19,8,14,17,8,,,,13,5, , ,,, ,, , ,, , , , , ,84
,,,,,,,Bellows Falls UHSD #27 (District),,,,Bellows Falls UHSD #27 (School), , ,,, , , , , ,,,, , , , ,,, ,,112,74,,93,84, , , ,363
,,,,,,,Rockingham,,,,Bellows Falls Middle School, , ,,, , , , , ,,,,46,60, ,78,,,97,, , ,, , , , , ,281
,,,,,,,,,,,Rockingham Central Elementary, , ,,,39,54,37,34,43,,,, , , , ,,, ,, , ,, , , , , ,207
,,,,,,,,,,,Saxtons River Elementary School, , ,,,21,19,19,20,22,,,,14, , , ,,, ,, , ,, , , , , ,115
,,,,,,,Westminster,,,,Westminster Schools, , ,,,24,36,33,31,27,,,,21,33, , ,,, ,, , ,, , , , , ,205
,,,,,,,Windham Northeast SU,,,,Windham Northeast SU,52, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,52
,,,,,,Windham Southeast SU,Brattleboro,,,,Academy School, , ,,,53,67,46,54,38,,,,51,47,7, ,,, ,, , ,, , , , , ,363
,,,,,,,,,,,Green Street School, , ,,,44,43,33,37,41,,,,32,33, , ,,, ,, , ,, , , , , ,263
,,,,,,,,,,,Oak Grove School, , ,,,20,22,20,22,20,,,,19,20,12, ,,, ,, , ,, , , , , ,155
,,,,,,,Brattleboro UHSD #6 (District),,,,Bratt Area Middle School UHSD #6, , ,,, , , , , ,,,, , , ,143,,,170,, , ,, , , , , ,313
,,,,,,,,,,,Brattleboro UHSD #6 (School), , ,,, , , , , ,,,, , , , ,,, ,,236,284,,226,234, , ,1,981
,,,,,,,Dummerston,,,,Dummerston Schools, ,1,,,9,16,17,21,13,,,,14,20, ,26,,,22,, , ,, , , , , ,159
,,,,,,,Guilford,,,,Guilford Central School, ,16,,, ,20,14,18,16,,,,21,16, ,29,,,35,, , ,, , , , , ,185
,,,,,,,Putney,,,,Putney Central School,15, ,,,12,30,15,19,19,,,,26,31, ,29,,,30,, , ,, , , , , ,226
,,,,,,,Vernon,,,,Vernon Elementary School, ,15,,, ,29,21,32,30,,,,34,38, , ,,, ,, , ,, , , , , ,199
,,,,,,,Windham Southeast SU,,,,Windham Southeast SU,48, ,,, ,1,4,2, ,,,,3,2, , ,,, ,, , ,, , , , , ,60
,,,,,,Windham Southwest SU,Halifax,,,,Halifax School, , ,,,5,7,12,10,6,,,,4,4, ,7,,,4,, , ,, , , , , ,59
,,,,,,,Whitingham,,,,Whitingham School,21,11,,,1,20,13,17,15,,,,7, , , ,,, ,, , ,, , , , , ,105
,,,,,,,Whitingham/Wilmington Joint Contract District,,,,Twin Valley High School, , ,,, , , , , ,,,, , , , ,,, ,,65,57,,78,65, , , ,265
,,,,,,,,,,,Twin Valley Middle School, , ,,, , , , , ,,,, ,49, ,44,,,45,, , ,, , , , , ,138
,,,,,,,Wilmington,,,,Twin Valley Elementary School,32, ,,,25,16,19,27,29,,,,15, , , ,,, ,, , ,, , , , , ,163
,,,,,,,Windham Southwest SU,,,,Windham Southwest SU,2, ,,,1,4,2,1,2,,,,1, , , ,,, ,, , ,, , , , , ,13
,,,,,,Windsor Southwest SU,Flood Brook USD #20 (District),,,,Flood Brook USD #20 (School),13, ,,,31,37,33,38,28,,,,27,31, ,23,,,43,, , ,, , , , , ,304
,,,,,,,,,,,County Total,221,61,,,365,508,433,487,451,,,,422,454,22,454,,,515,,477,493,,452,450,2, ,1,"6,268"
,Windsor County,,,,,Hartford SD,Hartford,,,,Dothan Brook School, ,45,,, ,56,50,39,51,,,,41, , , ,,, ,, , ,, , , , , ,282
,,,,,,,,,,,Hartford High School, , ,,, , , , , ,,,, , , , ,,, ,,203,192,,181,216, , , ,792
,,,,,,,,,,,Hartford Memorial Middle School, , ,,, , , , , ,,,, ,132, ,118,,,136,, , ,, , , , , ,386
,,,,,,,,,,,Ottauquechee School,11,26,,, ,37,36,30,40,,,,39, , , ,,, ,, , ,, , , , , ,219
,,,,,,,,,,,White River School,34, ,,,30,34,22,28,19,,,,31, , , ,,, ,, , ,, , , , , ,198
,,,,,,,Hartford SD,,,,Hartford SD,16, ,,, , , , , ,,,,2, , ,1,,,5,,1,4,,3, , , , ,32
,,,,,,Orange Windsor SU,Orange Windsor SU,,,,Orange Windsor SU,13, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,13
,,,,,,,Royalton,,,,South Royalton Elementary/High School,15, ,,,18,21,28,18,30,,,,31,28, ,29,,,34,,46,55,,43,44, , , ,440
,,,,,,,Sharon,,,,Sharon Elementary School,13,12,,, ,20,19,10,20,,,,8,23, , ,,, ,, , ,, , , , , ,125
,,,,,,Rutland Windsor SU,Black River USD #39 (District),,,,Black River USD #39 (School), , ,,, , , , , ,,,, , , ,43,,,29,,39,40,,36,49, , , ,236
,,,,,,,Ludlow,,,,Ludlow Elementary School, ,11,,, ,15,18,16,24,,,,20,16, , ,,, ,, , ,, , , , , ,120
,,,,,,,Plymouth,,,,Plymouth Elementary School, , ,,,6,3,2,3,3,,,,2,4, , ,,, ,, , ,, , , , , ,23
,,,,,,,Rutland Windsor SU,,,,Rutland Windsor SU,34, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,34
,,,,,,Sau 70,Norwich,,,,Marion W Cross School, ,31,,, ,36,41,49,47,,,,43,53, , ,,, ,, , ,, , , , , ,300
,,,,,,Springfield SD,Springfield,,,,Elm Hill School, , ,,,18,19,22,20,21,,,,19, ,3, ,,, ,, , ,, , , , , ,122
