,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Operating District Financial Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,7th,8th,,,9th,,10th,11th,,12th,AW,Total
,,,,,,,,,,,Statewide Total,"5,675",198,,,"6,064","6,073","6,248","6,177","6,092",,,,"6,164","6,237","6,149","6,272",,,"6,283",,"6,222","6,106",,"6,053",106,"86,119"
,Addison County,,,,,Addison Central SU,Bridport,,,,Bridport Central School,12, ,,,13,7,6,9,14,,,,14,4, , ,,, ,, , ,, , ,79
,,,,,,,Cornwall,,,,Bingham Memorial School,6, ,,,10,15,8,11,12,,,,13,10, , ,,, ,, , ,, , ,85
,,,,,,,Middlebury ID #4,,,,Middlebury ID #4 School,55, ,,,63,55,62,52,59,,,,54,59, , ,,, ,, , ,, , ,459
,,,,,,,Middlebury UHSD #3,,,,Middlebury Senior UHSD #3, , ,,, , , , , ,,,, , , , ,,,151,,146,136,,165,10,608
,,,,,,,,,,,Middlebury Union Middle School #3, , ,,, , , , , ,,,, , ,175,139,,, ,, , ,, , ,314
,,,,,,,Ripton,,,,Ripton Elementary School,3, ,,,7,5,4,6,3,,,,4,8, , ,,, ,, , ,, , ,40
,,,,,,,Salisbury,,,,Salisbury Community School,10, ,,,13,11,17,17,5,,,,15,12, , ,,, ,, , ,, , ,100
,,,,,,,Shoreham,,,,Shoreham Elementary School,4, ,,,8,8,14,13,8,,,,13,10, , ,,, ,, , ,, , ,78
,,,,,,,Weybridge,,,,Weybridge Elementary School,2, ,,,4,2,9,4,10,,,,6,5, , ,,, ,, , ,, , ,42
,,,,,,Addison Northeast SU,Bristol,,,,Bristol Elementary School,25, ,,,43,45,37,48,27,,,,29,41, , ,,, ,, , ,, , ,295
,,,,,,,Lincoln,,,,Lincoln Community School,16, ,,,13,22,20,22,12,,,,19,17, , ,,, ,, , ,, , ,141
,,,,,,,Monkton,,,,Monkton Central School,2, ,,,23,17,28,22,20,,,,19,30, , ,,, ,, , ,, , ,161
,,,,,,,Mt Abraham UHSD #28 (District),,,,Mt Abraham UHSD #28 (School), , ,,, , , , , ,,,, , ,128,127,,,118,,128,128,,127, ,756
,,,,,,,New Haven,,,,Beeman Elementary School,8, ,,,12,14,19,15,6,,,,15,20, , ,,, ,, , ,, , ,109
,,,,,,,Starksboro,,,,Robinson School,18, ,,,26,18,23,28,24,,,,20,24, , ,,, ,, , ,, , ,181
,,,,,,Addison Northwest SU,Addison,,,,Addison Central School,8, ,,,6,5,16,9,11,,,,15,17, , ,,, ,, , ,, , ,87
,,,,,,,Ferrisburgh,,,,Ferrisburgh Central School,17, ,,,28,30,30,29,33,,,,26,25, , ,,, ,, , ,, , ,218
,,,,,,,Vergennes UESD #44 (District),,,,Vergennes UESD #44 (School),50,36,,, ,45,40,32,41,,,,31,52, , ,,, ,, , ,, , ,327
,,,,,,,Vergennes UHSD #5 (District),,,,Vergennes UHSD #5 (School), , ,,, , , , , ,,,, , ,77,89,,,88,,83,93,,119, ,549
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School, , ,,,14,15,12,11,16,,,,13,9,8,25,,, ,, , ,, , ,123
,,,,,,Rutland Northeast SU,Leicester,,,,Leicester Central School,8, ,,,8,9,10,10,10,,,,10,2, , ,,, ,, , ,, , ,67
,,,,,,,Whiting,,,,Whiting Village School,11, ,,,5,6,5,4,7,,,,4,6, , ,,, ,, , ,, , ,48
,,,,,,,,,,,County Total,255,36,,,296,329,360,342,318,,,,320,351,388,380,,,357,,357,357,,411,10,"4,867"
,Bennington County,,,,,Battenkill Valley SU,Arlington,,,,Arlington Memorial, , ,,, , , , , ,,,, ,31,34,28,,,27,,33,21,,25, ,199
,,,,,,,,,,,Fisher School,32, ,,,30,25,25,30,23,,,,30, , , ,,, ,, , ,, , ,195
,,,,,,Bennington Rutland SU,Dorset,,,,Dorset School,15, ,,,15,23,14,19,23,,,,17,22,18,22,,, ,, , ,, , ,188
,,,,,,,Manchester,,,,Manchester Elementary/Middle School,45, ,,,41,37,29,46,44,,,,39,41,58,58,,, ,, , ,, , ,438
,,,,,,,Sunderland,,,,Sunderland Elementary School,8, ,,,11,10,18,5,7,,,,7,4, , ,,, ,, , ,, , ,70
,,,,,,Southwest Vermont SU,Bennington ID,,,,Bennington Elementary School,46, ,,,40,37,46,47,43,,,,43, , , ,,, ,, , ,, , ,302
,,,,,,,,,,,Molly Stark School,66, ,,,70,66,76,60,60,,,,55, , , ,,, ,, , ,, , ,453
,,,,,,,,,,,Monument School,13, ,,,19,35,21,19,20,,,,24, , , ,,, ,, , ,, , ,151
,,,,,,,Mt Anthony UHSD #14,,,,Mt Anthony Senior UHSD #14, , ,,, , , , , ,,,, , , , ,,,265,,254,233,,249, ,"1,001"
,,,,,,,,,,,Mt Anthony Union Middle School, , ,,, , , , , ,,,, ,149,204,219,,, ,, , ,, , ,572
,,,,,,,North Bennington ID,,,,North Bennington Graded School,16, ,,,15,17,14,19,15,,,,20,19, , ,,, ,, , ,, , ,135
