,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Enrollment Report",,,,,,,,,,,,,,,
,,,,,,,,,"Student Enrollment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Export to Excel",,,,,,,,,,,,,,,
,,,,,,,,,,"School Year  2016-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Information about this report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"School Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"NECAP Assessment Report Information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"County               SU/SD                Operating District    School Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"PK/EEE","K Part",,,"K Full","1st","2nd","3rd","4th",,,,"5th","6th","7th","8th",,,"9th",,"10th","11th",,"12th","AW","PD","Total"
,,,,,,,,,,,"Statewide Total","8,115","18",,,"5,771","5,813","5,728","6,186","6,143",,,,"5,981","6,144","5,961","5,861",,,"5,834",,"5,784","5,582",,"5,424","87","1","84,433"
,"Addison County",,,,,"Addison Central SU","Bridport",,,,"Bridport Central School","18"," ",,,"7","9","10","7","12",,,,"6","8"," "," ",,," ",," "," ",," "," "," ","77"
,,,,,,,"Cornwall",,,,"Bingham Memorial School","12"," ",,,"8","10","9","12","14",,,,"19","7"," "," ",,," ",," "," ",," "," "," ","91"
,,,,,,,"Middlebury ID #4",,,,"Middlebury ID #4 School","98"," ",,,"72","58","57","72","66",,,,"50","71"," "," ",,," ",," "," ",," "," "," ","544"
,,,,,,,"Middlebury UHSD #3",,,,"Middlebury Senior UHSD #3"," "," ",,," "," "," "," "," ",,,," "," "," "," ",,,"150",,"132","181",,"136","7"," ","606"
,,,,,,,,,,,"Middlebury Union Middle School #3"," "," ",,," "," "," "," "," ",,,," "," ","128","123",,," ",," "," ",," "," "," ","251"
,,,,,,,"Ripton",,,,"Ripton Elementary School","15"," ",,,"4","9","9","2","9",,,,"5","3"," "," ",,," ",," "," ",," "," "," ","56"
,,,,,,,"Salisbury",,,,"Salisbury Community School","18"," ",,,"11","12","11","12","14",,,,"14","13"," "," ",,," ",," "," ",," "," "," ","105"
,,,,,,,"Shoreham",,,,"Shoreham Elementary School","19"," ",,,"16","11","5","13","8",,,,"13","12"," "," ",,," ",," "," ",," "," "," ","97"
,,,,,,,"Weybridge",,,,"Weybridge Elementary School","13"," ",,,"8","9","7","8","6",,,,"4","8"," "," ",,," ",," "," ",," "," "," ","63"
,,,,,,"Addison Northeast SU","Bristol",,,,"Bristol Elementary School","57"," ",,,"43","39","28","35","37",,,,"37","39"," "," ",,," ",," "," ",," "," "," ","315"
,,,,,,,"Lincoln",,,,"Lincoln Community School","21"," ",,,"16","17","14","20","14",,,,"18","19"," "," ",,," ",," "," ",," "," "," ","139"
,,,,,,,"Monkton",,,,"Monkton Central School","34"," ",,,"23","16","24","22","22",,,,"19","26"," "," ",,," ",," "," ",," "," "," ","186"
,,,,,,,"Mt Abraham UHSD #28 (District)",,,,"Mt Abraham UHSD #28 (School)"," "," ",,," "," "," "," "," ",,,," "," ","124","75",,,"99",,"115","118",,"108"," "," ","639"
,,,,,,,"New Haven",,,,"Beeman Elementary School","16"," ",,,"5","16","10","14","15",,,,"17","19"," "," ",,," ",," "," ",," "," "," ","112"
,,,,,,,"Starksboro",,,,"Robinson School","27"," ",,,"21","14","26","22","27",,,,"15","30"," "," ",,," ",," "," ",," "," "," ","182"
,,,,,,"Addison Northwest SU","Addison",,,,"Addison Central School","15"," ",,,"9","8","8","9","6",,,,"5","17"," "," ",,," ",," "," ",," "," "," ","77"
,,,,,,,"Ferrisburgh",,,,"Ferrisburgh Central School","22"," ",,,"16","23","12","20","26",,,,"28","26"," "," ",,," ",," "," ",," "," "," ","173"
,,,,,,,"Vergennes UESD #44 (District)",,,,"Vergennes UESD #44 (School)","42"," ",,,"31","30","34","37","35",,,,"35","36"," "," ",,," ",," "," ",," "," "," ","280"
,,,,,,,"Vergennes UHSD #5 (District)",,,,"Vergennes UHSD #5 (School)"," "," ",,," "," "," "," "," ",,,," "," ","67","88",,,"66",,"82","67",,"87"," "," ","457"
,,,,,,"Addison Rutland SU","Orwell",,,,"Orwell Village School","1"," ",,,"11","13","16","8","15",,,,"14","14","13","14",,," ",," "," ",," "," "," ","119"
,,,,,,"Rutland Northeast SU","Otter Valley Unified School District",,,,"Leicester Central School","4"," ",,,"5","4","7","7","7",,,,"10","6"," "," ",,," ",," "," ",," "," "," ","50"
,,,,,,,,,,,"Whiting Village School","12"," ",,,"2","6","2","6","3",,,,"5","4"," "," ",,," ",," "," ",," "," "," ","40"
,,,,,,,,,,,"County Total","444"," ",,,"308","304","289","326","336",,,,"314","358","332","300",,,"315",,"329","366",,"331","7"," ","4,659"
,"Bennington County",,,,,"Battenkill Valley SU","Arlington",,,,"Arlington Memorial"," "," ",,," "," "," "," "," ",,,," ","18","33","26",,,"37",,"36","28",,"27"," "," ","205"
,,,,,,,,,,,"Fisher School","35"," ",,,"23","26","31","29","31",,,,"28"," "," "," ",,," ",," "," ",," "," "," ","203"
,,,,,,"Bennington Rutland SU","Dorset",,,,"Dorset School","22"," ",,,"14","8","15","17","25",,,,"21","24","26","30",,," ",," "," ",," "," "," ","202"
,,,,,,,"Manchester",,,,"Manchester Elementary/Middle School","64"," ",,,"35","32","35","34","38",,,,"39","31","51","59",,," ",," "," ",," "," "," ","418"
,,,,,,,"Sunderland",,,,"Sunderland Elementary School","9"," ",,,"14","10","11","16","9",,,,"12","14"," "," ",,," ",," "," ",," "," "," ","95"
